No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
24,Metadata,Export metadata object for SEO,Use metadata export for static page metadata,Export const metadata from page.tsx,Add meta tags manually in head,"export const metadata = { title: 'Home' }","<head><title>Home</title></head>",high,https://nextjs.org/docs/app/building-your-application/optimizing/metadata
25,Metadata,Use generateMetadata for dynamic metadata,Generate metadata based on route params or fetched data,Export async generateMetadata function,Hardcode metadata for dynamic pages,"export async function generateMetadata({ params }) { }","export const metadata = { title: 'Product' } // not dynamic",high,https://nextjs.org/docs/app/api-reference/functions/generate-metadata
26,Metadata,Configure Open Graph images,Set og:image for social media previews,Add openGraph.images to metadata,Omit Open Graph tags from pages,"metadata = { openGraph: { images: ['/og.png'] } }","// No og:image for sharing",medium,https://nextjs.org/docs/app/api-reference/functions/generate-metadata#opengraph
27,Metadata,Add favicon and icons,Configure app icons in metadata,Set icons property in root layout metadata,Add favicon.ico manually to public,"{icons: {icon: '/favicon.ico', apple: '/apple-icon.png'}}","// favicon.ico in public only",low,https://nextjs.org/docs/app/api-reference/functions/generate-metadata#icons
28,API,Use Route Handlers for API endpoints,Create API routes with route.ts in app directory,Export HTTP method functions from route.ts,Create API pages in pages/api,,"export async function GET(request) { return Response.json({}) }","export default function handler(req res) {} // Pages Router",medium,https://nextjs.org/docs/app/building-your-application/routing/route-handlers
29,API,Handle different HTTP methods explicitly,Export separate functions for GET POST etc,Export GET POST PUT DELETE as needed,Handle all methods in single function,"export async function GET() {} export async function POST() {}","export async function handler(req) { if (req.method === 'GET') }",medium,https://nextjs.org/docs/app/building-your-application/routing/route-handlers#supported-http-methods
30,API,Use Server Actions for mutations,Server Actions simplify form submissions and data mutations,Use use server for form actions,Create API routes for all mutations,"'use server'; async function submitForm(formData) {}","// API route + fetch for every form",high,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations
31,API,Validate input in Server Actions,Always validate and sanitize user input,Use zod or similar for input validation,Trust client-side validation only,"const validated = schema.safeParse(formData)","// Directly use formData without validation",critical,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations#security
32,Middleware,Use middleware for auth and redirects,Middleware runs before requests are completed,Add middleware.ts to project root,Handle auth in every page component,"export function middleware(request) { if (!auth) redirect('/login') }","// Check auth in each page.tsx",high,https://nextjs.org/docs/app/building-your-application/routing/middleware
33,Middleware,Configure middleware matcher,Limit middleware to specific paths,Use matcher config to target paths,Let middleware run on all requests including static assets,"export const config = { matcher: ['/dashboard/:path*'] }","// No matcher - runs on every request",medium,https://nextjs.org/docs/app/building-your-application/routing/middleware#matcher
34,Middleware,Keep middleware lightweight,Middleware runs on every matched request,Only do essential checks in middleware,Perform heavy operations in middleware,"// Auth check and redirect only","// Database queries in middleware",high,https://nextjs.org/docs/app/building-your-application/routing/middleware#convention
35,Environment,Use NEXT_PUBLIC_ prefix for client variables,Only NEXT_PUBLIC_ vars are exposed to browser,Prefix client-needed vars with NEXT_PUBLIC_,Expose sensitive vars to client,"NEXT_PUBLIC_API_URL=https://api.example.com","API_SECRET=xxx // accidentally exposed",critical,https://nextjs.org/docs/app/building-your-application/configuring/environment-variables
36,Environment,Keep secrets server-side only,Never expose API keys or secrets to client,Access secrets only in Server Components or API routes,Import secrets in client components,"// Server Component: process.env.API_SECRET","'use client'; const secret = process.env.API_SECRET // undefined",critical,https://nextjs.org/docs/app/building-your-application/configuring/environment-variables#bundling-environment-variables-for-the-browser
37,Environment,Use env.local for local development,Store local environment variables in .env.local,Create .env.local for development secrets,Commit .env.local to version control,".env.local (gitignored)","git add .env.local // exposes secrets",critical,https://nextjs.org/docs/app/building-your-application/configuring/environment-variables#loading-environment-variables
38,Performance,Implement ISR for dynamic content,Incremental Static Regeneration updates static pages,Set revalidate period for pages,Rebuild entire site for content updates,"export const revalidate = 60 // seconds","// Full rebuild on every change",high,https://nextjs.org/docs/app/building-your-application/data-fetching/incremental-static-regeneration
39,Performance,Use generateStaticParams for static generation,Pre-render dynamic routes at build time,Export generateStaticParams for known params,Generate all dynamic pages on-demand,"export async function generateStaticParams() { return posts.map(p => ({ slug: p.slug })) }","// All [slug] pages generated on request",medium,https://nextjs.org/docs/app/api-reference/functions/generate-static-params
40,Performance,Configure dynamic route behavior,Control rendering strategy per route,Set dynamic = force-static or force-dynamic as needed,Let all routes use default behavior,"export const dynamic = 'force-static'","// Unclear rendering behavior",medium,https://nextjs.org/docs/app/api-reference/file-conventions/route-segment-config#dynamic
41,Performance,Enable PPR for optimal performance,Partial Prerendering combines static and dynamic rendering,Enable experimental PPR in config,Choose between fully static or dynamic,"experimental: { ppr: true }","// Entire page waits for slowest data",medium,https://nextjs.org/docs/app/building-your-application/rendering/partial-prerendering
42,Link,Use next/link for client navigation,Link enables client-side navigation without full reload,Import Link from next/link,Use anchor tags for internal links,"import Link from 'next/link'; <Link href='/about'>","<a href='/about'>About</a>",high,https://nextjs.org/docs/app/api-reference/components/link
43,Link,Prefetch strategically,Control prefetching for performance optimization,Set prefetch={false} for rarely visited links,Let all links prefetch by default,"<Link href='/settings' prefetch={false}>","// Hundreds of links all prefetching",medium,https://nextjs.org/docs/app/api-reference/components/link#prefetch
44,Link,Use replace for redirect-like navigation,Prevent adding to browser history for certain navigations,Add replace for redirects and tab switches,Always push to history,"<Link href='/new' replace>","<Link href='/redirect-target'> // adds history entry",low,https://nextjs.org/docs/app/api-reference/components/link#replace
45,Config,Configure next.config.js appropriately,Set essential configuration options,Configure images redirects and headers,Use default config without customization,"module.exports = { images: { domains: [] }, async redirects() {} }","module.exports = {}",medium,https://nextjs.org/docs/app/api-reference/config/next-config-js
46,Config,Use TypeScript config for type safety,next.config.ts provides autocomplete and validation,Use next.config.ts instead of .js,Use JavaScript config without types,"import type { NextConfig } from 'next'; const config: NextConfig = {}","module.exports = { /* no types */ }",low,https://nextjs.org/docs/app/api-reference/config/next-config-js/typescript
47,Config,Configure redirects in config,Handle URL redirects at config level,Set redirects in next.config.js,Handle redirects in middleware for simple cases,"async redirects() { return [{ source: '/old', destination: '/new', permanent: true }] }","middleware: if (path === '/old') redirect('/new')",low,https://nextjs.org/docs/app/api-reference/config/next-config-js/redirects
48,Deployment,Use Vercel for zero-config deployment,Vercel provides optimal Next.js hosting,Deploy to Vercel for automatic optimization,Self-host without understanding requirements,"vercel deploy","// Complex self-hosting without caching",medium,https://nextjs.org/docs/app/building-your-application/deploying
49,Deployment,Configure output for self-hosting,Set output mode for different hosting environments,Set output: 'standalone' for Docker deployments,Use default output for containerized apps,"output: 'standalone'","// Default output in Docker - large image",medium,https://nextjs.org/docs/app/api-reference/config/next-config-js/output
50,Security,Implement CSP headers,Content Security Policy prevents XSS attacks,Configure CSP in middleware or headers config,Omit security headers entirely,"headers: [{ key: 'Content-Security-Policy', value: '...' }]","// No CSP header",high,https://nextjs.org/docs/app/building-your-application/configuring/content-security-policy
51,Security,Use nonce for inline scripts,Generate nonces for secure inline script execution,Generate nonce in middleware and pass to components,Allow unsafe-inline in CSP,"<script nonce={nonce}>","<script> // blocked by CSP or unsafe-inline",high,https://nextjs.org/docs/app/building-your-application/configuring/content-security-policy#nonces
52,Security,Validate and sanitize all inputs,Never trust user input in Server Actions or API routes,Use validation libraries like zod,Process user input directly,"const result = schema.safeParse(input); if (!result.success) throw","const name = formData.get('name'); db.query(name) // injection risk",critical,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations#security
