No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
19,Lists,Implement pagination for large datasets,Load data in pages to reduce memory usage and improve initial load time,Use infinite scroll or explicit pagination for large datasets,Load thousands of items at once,"ListView.builder(itemBuilder: (ctx, i) { if (i >= items.length - 5) loadMore(); return ItemTile(items[i]); })","ListView(children: allTenThousandItems.map((i) => ItemTile(i)).toList())",warning,https://docs.flutter.dev/cookbook/lists/long-lists
20,Lists,Use SliverList for complex scrolling,Slivers provide more control for complex scrolling scenarios with multiple scroll sections,Use CustomScrollView with Slivers for headers sticky items and mixed content,Force complex scroll behaviors with nested ListViews,"CustomScrollView(slivers: [SliverAppBar(), SliverList(delegate: SliverChildBuilderDelegate(...))])","ListView(children: [Header(), ListView()]) // Nested scroll",warning,https://docs.flutter.dev/ui/layout/scrolling/slivers
21,Navigation,Use named routes with typed arguments,Named routes improve code organization and enable deep linking,Define routes centrally with typed route arguments,Hardcode MaterialPageRoute throughout the app,"Navigator.pushNamed(context, '/trader', arguments: TraderId(123)); // With route generation","Navigator.push(context, MaterialPageRoute(builder: (_) => TraderPage(id: 123))) // Everywhere",info,https://docs.flutter.dev/ui/navigation
22,Navigation,Consider Navigator 2.0 for complex navigation,Navigator 2.0 provides declarative navigation for complex routing needs,Use go_router or auto_route for apps with complex navigation requirements,Use Navigator 2.0 for simple linear navigation,"GoRouter(routes: [GoRoute(path: '/', builder: (_, __) => HomePage())])","// 200 lines of custom RouteInformationParser for simple navigation",warning,https://docs.flutter.dev/ui/navigation
23,Navigation,Handle back navigation properly,Override back button behavior when needed for confirmation or custom logic,Use WillPopScope to intercept back navigation when needed,Ignore back navigation edge cases,"WillPopScope(onWillPop: () async { return await showConfirmDialog(context); }, child: Form())","Form() // No confirmation when leaving with unsaved changes",info,https://api.flutter.dev/flutter/widgets/WillPopScope-class.html
24,Navigation,Pass data safely between routes,Use typed arguments and validate route parameters,Define argument classes and validate in route builders,Pass untyped Map or dynamic data between routes,"class TraderArgs { final String id; final String name; } Navigator.pushNamed(ctx, '/trader', arguments: TraderArgs(id: '1', name: 'Top'));","Navigator.pushNamed(ctx, '/trader', arguments: {'id': '1', 'name': 'Top'}) // Untyped",warning,https://docs.flutter.dev/cookbook/navigation/navigate-with-arguments
25,Async,Use FutureBuilder correctly,FutureBuilder handles async data loading with proper state handling,Create Future outside build and handle all connection states,Create Future inside build causing infinite rebuilds,"late Future<Data> _future; @override void initState() { _future = fetchData(); } Widget build(ctx) => FutureBuilder(future: _future, ...)","Widget build(ctx) => FutureBuilder(future: fetchData(), ...) // New future each build",error,https://api.flutter.dev/flutter/widgets/FutureBuilder-class.html
26,Async,Use StreamBuilder for reactive data,StreamBuilder rebuilds when stream emits new data ideal for real-time updates,Use StreamBuilder for data that changes over time like WebSocket or database streams,Use FutureBuilder and manually refresh for real-time data,"StreamBuilder<Price>(stream: priceStream, builder: (ctx, snap) => Text('${snap.data}'))","// Polling with Timer and FutureBuilder for real-time prices",warning,https://api.flutter.dev/flutter/widgets/StreamBuilder-class.html
27,Async,Cancel subscriptions on dispose,Prevent memory leaks by canceling stream subscriptions and timers,Cancel subscriptions in dispose method,Leave subscriptions active after widget disposal,"StreamSubscription? _sub; @override void dispose() { _sub?.cancel(); super.dispose(); }","StreamSubscription? _sub; // Never cancelled",error,https://docs.flutter.dev/perf/best-practices
28,Async,Handle loading and error states,Provide feedback during async operations and handle failures gracefully,Show loading indicators and error messages for all async operations,Show blank screen or crash on async errors,"if (snapshot.connectionState == ConnectionState.waiting) return Spinner(); if (snapshot.hasError) return ErrorWidget(snapshot.error);","if (snapshot.hasData) return DataWidget(snapshot.data); // No loading or error handling",error,https://api.flutter.dev/flutter/widgets/FutureBuilder-class.html
29,Theming,Use Theme data consistently,Define app theme centrally and access via Theme.of(context),Define colors fonts and styles in ThemeData,Hardcode colors and styles throughout widgets,"Text('Hello', style: Theme.of(context).textTheme.headlineMedium)","Text('Hello', style: TextStyle(fontSize: 24, color: Color(0xFF123456)))",warning,https://docs.flutter.dev/cookbook/design/themes
30,Theming,Support dark mode,Implement both light and dark themes for better user experience and accessibility,Define separate ThemeData for light and dark modes,Ignore dark mode or hardcode light colors,"MaterialApp(theme: lightTheme, darkTheme: darkTheme, themeMode: ThemeMode.system)","MaterialApp(theme: ThemeData.light()) // No dark mode support",warning,https://docs.flutter.dev/cookbook/design/themes
31,Theming,Use semantic colors,Define colors by their purpose rather than their appearance,Create color schemes with semantic names like primary surface error,Name colors by their literal values like blue400,"final primaryColor = Theme.of(context).colorScheme.primary;","final buttonColor = Color(0xFF2196F3); // Magic color value",info,https://api.flutter.dev/flutter/material/ColorScheme-class.html
32,Animation,Use implicit animations for simple cases,Implicit animations like AnimatedContainer handle animation automatically,Use AnimatedFoo widgets for simple property animations,Use explicit animation controllers for simple opacity changes,"AnimatedOpacity(opacity: _visible ? 1.0 : 0.0, duration: Duration(milliseconds: 300))","// Using AnimationController just to fade a widget",info,https://docs.flutter.dev/ui/animations/implicit-animations
33,Animation,Dispose animation controllers,AnimationController must be disposed to prevent memory leaks,Dispose controllers in the State dispose method,Forget to dispose AnimationControllers,"late AnimationController _ctrl; @override void dispose() { _ctrl.dispose(); super.dispose(); }","late AnimationController _ctrl; // Never disposed",error,https://docs.flutter.dev/ui/animations/tutorial
34,Animation,Use curves for natural motion,Animation curves make motion feel more natural and polished,Apply appropriate Curves to animations for natural motion,Use linear animation for all movements,"AnimatedContainer(curve: Curves.easeInOut, ...)","AnimatedContainer(curve: Curves.linear, ...) // Robotic motion",info,https://api.flutter.dev/flutter/animation/Curves-class.html
35,Animation,Consider performance for complex animations,Complex animations can cause jank if not optimized properly,Use RepaintBoundary and optimize build during animation,Rebuild entire widget tree on each animation frame,"RepaintBoundary(child: AnimatedWidget())","// Rebuilding entire page on each animation frame",warning,https://docs.flutter.dev/perf/best-practices#control-build-cost
36,Forms,Use Form widget with GlobalKey,Form widget provides validation and save functionality for multiple fields,Wrap form fields in Form widget with a GlobalKey,Validate each field independently without Form,"final _formKey = GlobalKey<FormState>(); Form(key: _formKey, child: Column(children: [TextFormField(validator: ...)]))","Column(children: [TextField(), TextField()]) // No Form wrapper",warning,https://docs.flutter.dev/cookbook/forms/validation
37,Forms,Implement proper validation,Validate form input before submission with clear error messages,Add validators to form fields with helpful error messages,Submit forms without validation,"TextFormField(validator: (val) => val?.isEmpty ?? true ? 'Email required' : null)","TextFormField() // No validation",warning,https://docs.flutter.dev/cookbook/forms/validation
38,Forms,Handle keyboard properly,Manage keyboard appearance and dismissal for better UX,Handle keyboard dismissal and focus changes appropriately,Let keyboard obscure form fields,"Scaffold(body: GestureDetector(onTap: () => FocusScope.of(context).unfocus(), child: SingleChildScrollView(child: Form())))","Scaffold(body: Form()) // Keyboard may obscure fields",warning,https://docs.flutter.dev/cookbook/forms/focus
39,Forms,Use TextInputAction and focus management,Guide users through form fields with proper input actions and focus management,Set textInputAction and handle onFieldSubmitted to move focus,Use default actions and let users tap each field manually,"TextFormField(textInputAction: TextInputAction.next, onFieldSubmitted: (_) => FocusScope.of(context).nextFocus())","TextFormField() // User must tap each field",info,https://docs.flutter.dev/cookbook/forms/focus
40,Performance,Minimize build rebuilds,Reduce unnecessary widget rebuilds by structuring widget tree properly,Split widgets and use const constructors to minimize rebuild scope,Rebuild entire screens for small state changes,"const Header(), Consumer<Counter>(builder: (_, counter, __) => Text('${counter.value}')), const Footer()","Consumer<Counter>(builder: (_, c, __) => Column(children: [Header(), Text('${c.value}'), Footer()]))",warning,https://docs.flutter.dev/perf/best-practices
41,Performance,Use RepaintBoundary strategically,RepaintBoundary isolates painting reducing repaint scope for complex widgets,Wrap complex or frequently updating widgets in RepaintBoundary,Wrap every widget in RepaintBoundary,"RepaintBoundary(child: ComplexChart())","// RepaintBoundary around every widget",info,https://api.flutter.dev/flutter/widgets/RepaintBoundary-class.html
42,Performance,Profile with DevTools,Use Flutter DevTools to identify performance issues and memory leaks,Profile your app in profile mode to find bottlenecks,Guess at performance issues without profiling,"// Run: flutter run --profile and use DevTools Performance tab","// Adding optimizations without measuring",info,https://docs.flutter.dev/tools/devtools/performance
43,Performance,Optimize images and assets,Load appropriately sized images and cache effectively,Use cacheWidth cacheHeight and proper image providers,Load full resolution images for small displays,"Image.network(url, cacheWidth: 200, cacheHeight: 200)","Image.network(url) // Full resolution for 100x100 display",warning,https://docs.flutter.dev/perf/best-practices#control-build-cost
44,Accessibility,Add semantic labels,Provide meaningful labels for screen readers on important elements,Add Semantics widget or semanticLabel property for accessibility,Ship without accessibility labels,"IconButton(icon: Icon(Icons.delete), tooltip: 'Delete item', onPressed: ...) Semantics(label: 'User avatar', child: CircleAvatar())","IconButton(icon: Icon(Icons.delete), onPressed: ...)",error,https://docs.flutter.dev/ui/accessibility-and-internationalization/accessibility
45,Accessibility,Support screen readers,Test and ensure your app works with TalkBack and VoiceOver,Test navigation and content reading with screen readers enabled,Ignore screen reader testing,"Semantics(label: 'Price chart showing upward trend', child: ChartWidget())","ChartWidget() // No semantic description",warning,https://docs.flutter.dev/ui/accessibility-and-internationalization/accessibility
46,Accessibility,Use sufficient contrast,Ensure text and interactive elements have sufficient color contrast,Test contrast ratios meet WCAG guidelines,Use low contrast color combinations,"Text('Important', style: TextStyle(color: Colors.black)) // On white background","Text('Important', style: TextStyle(color: Colors.grey[400])) // On grey background",warning,https://docs.flutter.dev/ui/accessibility-and-internationalization/accessibility
47,Testing,Write widget tests,Test widgets in isolation to catch UI regressions,Write widget tests for important UI components,Skip widget testing entirely,"testWidgets('TraderCard shows name', (tester) async { await tester.pumpWidget(TraderCard(trader)); expect(find.text('TopTrader'), findsOneWidget); });","// No widget tests",warning,https://docs.flutter.dev/testing/overview
48,Testing,Use golden tests for visual regression,Golden tests catch unintended visual changes by comparing screenshots,Add golden tests for important UI components,Rely only on manual visual testing,"testWidgets('Button matches golden', (tester) async { await tester.pumpWidget(MyButton()); await expectLater(find.byType(MyButton), matchesGoldenFile('button.png')); });","// Only manual visual checks",info,https://api.flutter.dev/flutter/flutter_test/matchesGoldenFile.html
49,Testing,Mock dependencies properly,Isolate units under test by mocking external dependencies,Use mockito or mocktail to mock services and repositories,Test with real network calls and databases,"when(mockRepo.getTraders()).thenAnswer((_) async => [mockTrader]); await tester.pumpWidget(ProviderScope(overrides: [traderRepoProvider.overrideWith((_) => mockRepo)], child: App()));","// Running tests against real API",warning,https://docs.flutter.dev/cookbook/testing/unit/mocking
50,Preview,Use hot reload effectively,Hot reload accelerates development by instantly showing changes,Structure code to maximize hot reload effectiveness,Rely on full restart for all changes,"// Extract widgets and use const to improve hot reload; Run: r for hot reload","// Restarting app for every change",info,https://docs.flutter.dev/tools/hot-reload
51,Platform,Handle platform differences,Account for iOS and Android platform differences in your app,Use Platform checks or adaptive widgets for platform-specific behavior,Ignore platform conventions entirely,"Platform.isIOS ? CupertinoButton() : ElevatedButton()","// Same button style ignoring platform conventions",info,https://docs.flutter.dev/platform-integration/platform-adaptations
52,Packages,Evaluate packages carefully,Choose well-maintained packages with good community support,Check package scores maintenance and issue activity,Add packages without evaluating quality,"// Check pub.dev score, GitHub issues, last update before adding","// Adding any package without checking quality",warning,https://pub.dev/
