No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Rendering,Use key prop correctly in lists,Keys help React identify which items changed,Use stable unique IDs as keys,Use array index as key for dynamic lists,"items.map(item => <Item key={item.id} />)","items.map((item, i) => <Item key={i} />)",critical,https://react.dev/learn/rendering-lists#keeping-list-items-in-order-with-key
12,Rendering,Avoid inline function definitions in JSX,Inline functions create new references causing child re-renders,Use useCallback for event handlers passed to children,Define event handlers inline,"const handleClick = useCallback(() => {}, [])","<Child onClick={() => doSomething()} />",medium,https://react.dev/reference/react/useCallback
13,Components,Keep components small and focused,Each component should do one thing well,Extract reusable logic into separate components,Create large components with many responsibilities,"<UserCard /><UserActions /><UserStats />","<UserProfile> // 500 lines",high,https://react.dev/learn/thinking-in-react#step-1-break-the-ui-into-a-component-hierarchy
14,Components,Use composition over inheritance,Build complex UIs by combining simple components,Pass children and render props for flexibility,Extend components through inheritance,"<Card><CardHeader /><CardBody /></Card>","class CustomCard extends Card",high,https://react.dev/learn/passing-props-to-a-component#passing-jsx-as-children
15,Components,Colocate related code in components,Keep state and effects close to where they are used,Define hooks and handlers in the component that uses them,Lift all state to top-level components,"function SearchBox() { const [query, setQuery] = useState('') }","// All state in App.tsx",medium,https://react.dev/learn/thinking-in-react#step-4-identify-where-your-state-should-live
16,Components,Use fragments to avoid wrapper divs,Fragments let you group elements without extra DOM nodes,Use <></> or <Fragment> for grouping,Add unnecessary wrapper divs,"<><Header /><Main /></>","<div><Header /><Main /></div>",low,https://react.dev/reference/react/Fragment
17,Props,Destructure props for clarity,Destructuring makes prop usage explicit,Destructure props in function parameters,Access props with props.propName,"function Button({ label, onClick }) { }","function Button(props) { props.label }",low,https://react.dev/learn/passing-props-to-a-component#step-2-read-props-inside-the-child-component
18,Props,Use default parameter values,Set default props using ES6 default parameters,Provide defaults in destructuring,Use defaultProps static property,"function Button({ size = 'md' }) { }","Button.defaultProps = { size: 'md' }",low,https://react.dev/learn/passing-props-to-a-component#specifying-a-default-value-for-a-prop
19,Props,Avoid prop drilling with context or composition,Pass data through component tree efficiently,Use context for deeply shared state,Pass props through many intermediate components,"<UserContext.Provider value={user}>","<A user={user}><B user={user}><C user={user}>",high,https://react.dev/learn/passing-data-deeply-with-context
20,Props,Spread remaining props with rest syntax,Forward unknown props to underlying elements,Use rest syntax for wrapper components,Manually forward each prop,"function Input({ label, ...props }) { return <input {...props} /> }","function Input({ label, value, onChange, ... }) { }",medium,https://react.dev/learn/passing-props-to-a-component#forwarding-props-with-the-jsx-spread-syntax
21,Events,Use synthetic events correctly,React wraps native events in SyntheticEvent,Access event properties synchronously,Access event properties asynchronously,"const handleChange = (e) => { setValue(e.target.value) }","setTimeout(() => console.log(e.target.value))",medium,https://react.dev/reference/react-dom/components/common#react-event-object
22,Events,Prevent default behavior explicitly,Call preventDefault for form submissions and links,Call e.preventDefault() when needed,Rely on return false to prevent default,"const handleSubmit = (e) => { e.preventDefault(); }","<form onSubmit={() => { /* missing preventDefault */ }}>",medium,https://react.dev/learn/responding-to-events#preventing-default-behavior
23,Events,Stop propagation intentionally,Use stopPropagation to prevent event bubbling,Call e.stopPropagation() for nested handlers,Let events bubble unintentionally,"<button onClick={(e) => { e.stopPropagation(); }}>","// Clicks close parent modal accidentally",medium,https://react.dev/learn/responding-to-events#stopping-propagation
24,Events,Use event delegation wisely,Handle events on parent elements for lists,Add single handler on list container,Add handlers to every list item,"<ul onClick={handleItemClick}>","items.map(i => <li onClick={() => handle(i)}>)",low,https://react.dev/learn/responding-to-events
25,Forms,Use controlled components for form inputs,Keep form state in React state,Manage input value with useState,Use uncontrolled inputs with refs for all forms,"<input value={value} onChange={e => setValue(e.target.value)} />","<input ref={inputRef} />",medium,https://react.dev/reference/react-dom/components/input#controlling-an-input-with-a-state-variable
26,Forms,Use uncontrolled components for simple cases,Refs are simpler for forms that only need values on submit,Use refs for file inputs and simple forms,Use controlled inputs for one-time form submission,"<input ref={inputRef} /> onSubmit: inputRef.current.value","const [v, setV] = useState('') // for simple form",low,https://react.dev/reference/react-dom/components/input#reading-the-input-values-when-submitting-a-form
27,Forms,Validate forms on blur and submit,Show validation errors at appropriate times,Validate onBlur and onSubmit,Validate only onChange causing excessive errors,"onBlur={() => validate()} onSubmit={() => validateAll()}","onChange={() => setError(validate())} // annoying",medium,https://react.dev/reference/react-dom/components/input
28,Forms,Use form libraries for complex forms,Libraries like React Hook Form reduce boilerplate,Use react-hook-form for complex multi-step forms,Build complex form logic from scratch,"const { register, handleSubmit } = useForm()","// 200 lines of form state management",medium,https://react-hook-form.com/
29,Hooks,Follow the Rules of Hooks,Only call hooks at the top level and from React functions,Call hooks unconditionally at component top level,Call hooks inside conditions loops or nested functions,"function Component() { const [a] = useState() }","if (condition) { const [a] = useState() }",critical,https://react.dev/reference/rules/rules-of-hooks
30,Hooks,Create custom hooks for reusable logic,Extract common patterns into custom hooks,Create useLocalStorage useFetch useDebounce,Duplicate stateful logic across components,"function useLocalStorage(key, init) { ... }","// Same localStorage logic in 5 components",high,https://react.dev/learn/reusing-logic-with-custom-hooks
31,Hooks,Name custom hooks with use prefix,The use prefix is required for hooks,Name hooks useXxx to enable lint rules,Name hooks without use prefix,"function useWindowSize() { }","function getWindowSize() { /* uses hooks */ }",critical,https://react.dev/learn/reusing-logic-with-custom-hooks#hook-names-always-start-with-use
32,Hooks,Use useRef for mutable values,useRef persists values without causing re-renders,Use useRef for interval IDs and previous values,Use useState for values that do not affect render,"const intervalRef = useRef(null)","const [intervalId, setIntervalId] = useState()",medium,https://react.dev/reference/react/useRef
33,Context,Use context for global app state,Context is ideal for themes locale and user authentication,Use context for theme user preferences auth state,Use context for frequently updating data,"<ThemeContext.Provider value={theme}>","<DataContext.Provider value={frequentlyChangingData}>",medium,https://react.dev/learn/passing-data-deeply-with-context
34,Context,Split contexts by update frequency,Separate rarely-changing context from frequently-changing,Create separate UserContext and UIContext,Put all state in one massive context,"<AuthContext.Provider><UIContext.Provider>","<AppContext.Provider value={{ user, theme, data, ui, ... }}>",high,https://react.dev/learn/scaling-up-with-reducer-and-context
35,Context,Memoize context values,Prevent unnecessary re-renders of context consumers,Wrap context value in useMemo,Pass object literal as context value,"const value = useMemo(() => ({ user }), [user])","<Context.Provider value={{ user }}>",high,https://react.dev/reference/react/useContext#optimizing-re-renders-when-passing-objects-and-functions
36,Context,Create custom hooks for context consumption,Provide a cleaner API for consuming context,Export useAuth hook that uses useContext internally,Make consumers call useContext directly,"export function useAuth() { return useContext(AuthContext) }","const auth = useContext(AuthContext) // in every file",medium,https://react.dev/learn/reusing-logic-with-custom-hooks
37,Performance,Use React.lazy for code splitting,Load components on demand to reduce bundle size,Lazy load route-level components,Import all components eagerly,"const Dashboard = React.lazy(() => import('./Dashboard'))","import Dashboard from './Dashboard'",high,https://react.dev/reference/react/lazy
38,Performance,Use Suspense for loading states,Show fallback UI while lazy components load,Wrap lazy components in Suspense with fallback,Show nothing while components load,"<Suspense fallback={<Spinner />}><Dashboard /></Suspense>","<Dashboard /> // no loading state",medium,https://react.dev/reference/react/Suspense
39,Performance,Profile before optimizing,Measure actual performance before adding complexity,Use React DevTools Profiler to find bottlenecks,Add useMemo useCallback everywhere preemptively,"// Profile showed ListItem is slow -> memo it","const value = useMemo(() => 1 + 1, []) // unnecessary",high,https://react.dev/learn/react-developer-tools
40,Performance,Use useTransition for non-urgent updates,Mark state updates as non-blocking for better UX,Use useTransition for expensive re-renders,Block UI during heavy computations,"const [isPending, startTransition] = useTransition()","setSearchResults(heavyComputation()) // blocks",medium,https://react.dev/reference/react/useTransition
41,Error Handling,Use error boundaries for component errors,Catch JavaScript errors in component tree,Create ErrorBoundary class component,Let errors crash the whole app,"<ErrorBoundary fallback={<Error />}><App /></ErrorBoundary>","// No error handling",critical,https://react.dev/reference/react/Component#catching-rendering-errors-with-an-error-boundary
42,Error Handling,Handle async errors in effects,try-catch cannot catch errors in useEffect callbacks,Handle errors inside async effect functions,Wrap useEffect in try-catch,"useEffect(() => { fetchData().catch(setError) }, [])","try { useEffect(() => {}) } catch(e) {}",high,https://react.dev/reference/react/useEffect
43,Error Handling,Show meaningful error messages,Display user-friendly error messages,Show specific error message with recovery action,Show generic Error occurred message,"<ErrorMessage>{error.message}</ErrorMessage>","<div>Error</div>",medium,https://react.dev/learn/keeping-components-pure#where-you-_can_-cause-side-effects
44,Testing,Test component behavior not implementation,Write tests that resemble how users interact,Use getByRole getByText for queries,Test internal state or implementation details,"expect(screen.getByRole('button')).toBeDisabled()","expect(component.state.isDisabled).toBe(true)",high,https://testing-library.com/docs/guiding-principles
45,Testing,Use React Testing Library,RTL encourages accessible and maintainable tests,Use render screen fireEvent from RTL,Use Enzyme or test internal component state,"render(<Button />); fireEvent.click(screen.getByRole('button'))","wrapper.instance().handleClick()",high,https://testing-library.com/docs/react-testing-library/intro
46,Testing,Mock external dependencies,Isolate components from network and side effects,Mock fetch calls and external services,Make real API calls in unit tests,"jest.mock('./api', () => ({ fetchUser: jest.fn() }))","// Real API calls in tests",medium,https://jestjs.io/docs/mock-functions
47,Accessibility,Use semantic HTML elements,Semantic elements provide built-in accessibility,Use button for clickable actions,Use div with onClick for buttons,"<button onClick={handleClick}>","<div onClick={handleClick} role='button'>",critical,https://react.dev/reference/react-dom/components#all-html-components
48,Accessibility,Add ARIA labels for custom components,Provide context for screen readers,Add aria-label aria-labelledby for custom widgets,Omit accessibility attributes on interactive elements,"<button aria-label='Close modal'>X</button>","<button>X</button>",high,https://react.dev/reference/react-dom/components/common#aria-attributes
49,Accessibility,Manage focus for modals and dialogs,Trap focus inside modals and return on close,Use focus-trap library or manage focus manually,Let focus escape modal boundaries,"<FocusTrap><Modal /></FocusTrap>","<Modal> // focus can escape",high,https://react.dev/learn/manipulating-the-dom-with-refs#focusing-a-text-input
50,TypeScript,Define prop types with interfaces,Use TypeScript interfaces for component props,Define Props interface for each component,Use inline type annotations or any,"interface ButtonProps { label: string; onClick: () => void }","function Button(props: any)",high,https://react.dev/learn/typescript#typing-component-props
51,TypeScript,Type event handlers properly,Use correct event types for handlers,Use React.MouseEvent React.ChangeEvent etc,Use any for event parameter,"const handleClick = (e: React.MouseEvent<HTMLButtonElement>) => {}","const handleClick = (e: any) => {}",medium,https://react.dev/learn/typescript#typing-dom-events
52,Patterns,Use render props for flexible components,Share code between components using a render prop,Use render prop for components needing render control,Duplicate rendering logic,"<DataFetcher render={(data) => <Display data={data} />} />","// Same fetching logic in Display1 Display2",medium,https://react.dev/learn/render-and-commit
53,Patterns,Use compound components for related UI,Build components that work together implicitly,Create Select with Select.Option pattern,Pass all options as props array,"<Select><Select.Option>A</Select.Option></Select>","<Select options={[{label: 'A', value: 'a'}]} />",medium,https://react.dev/learn/passing-props-to-a-component#passing-jsx-as-children
