No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
22,Server,Validate request data,Always validate incoming request data on the server,Use zod or similar for request validation,Trust client-side validation alone,"import { z } from 'zod'
const schema = z.object({
  email: z.string().email(),
  name: z.string().min(2)
})
export default defineEventHandler(async (event) => {
  const body = await readValidatedBody(event, schema.parse)
})","export default defineEventHandler(async (event) => {
  const body = await readBody(event)
  // No validation - security risk
  await db.insert(body)
})",error,https://nuxt.com/docs/guide/directory-structure/server#handling-request-body
23,Server,Handle server errors properly,Use createError for consistent error responses,Throw createError with proper status codes,Return plain error objects or strings,"export default defineEventHandler(() => {
  throw createError({
    statusCode: 404,
    statusMessage: 'User not found',
    data: { userId: 123 }
  })
})","export default defineEventHandler(() => {
  return { error: 'Not found' }
  // No proper status code
})",error,https://nuxt.com/docs/api/utils/create-error
24,Server,Use server utilities,Leverage built-in H3 utilities for common operations,Use getQuery getCookie setHeader and other utilities,Access raw request objects directly,"export default defineEventHandler((event) => {
  const query = getQuery(event)
  const cookie = getCookie(event, 'session')
  setHeader(event, 'X-Custom', 'value')
})","export default defineEventHandler((event) => {
  const query = event.node.req.url.split('?')
  // Manual parsing
})",warning,https://nuxt.com/docs/guide/directory-structure/server#server-utilities
25,Server,Implement server middleware,Use server middleware for cross-cutting concerns like logging and auth,Create middleware in server/middleware/ directory,Duplicate auth checks in every API route,"// server/middleware/log.ts
export default defineEventHandler((event) => {
  console.log(`${event.method} ${event.path}`)
})","// Duplicating in every route
export default defineEventHandler((event) => {
  console.log('Request received')
  // ... rest of handler
})",warning,https://nuxt.com/docs/guide/directory-structure/server#server-middleware
26,State,Use useState for SSR-safe state,useState provides SSR-friendly reactive state that hydrates properly,Use useState for state that needs to survive SSR,Use ref for state that needs SSR support,"const counter = useState('counter', () => 0)","const counter = ref(0)
// Lost during hydration",error,https://nuxt.com/docs/api/composables/use-state
27,State,Create composables for shared state,Extract reusable state logic into composables directory,Create composables in composables/ for shared logic,Duplicate state management across components,"// composables/useAuth.ts
export const useAuth = () => {
  const user = useState('user', () => null)
  const login = async (creds) => {...}
  return { user, login }
}","// Duplicated in multiple components
const user = useState('user')
const login = async () => {...}",warning,https://nuxt.com/docs/guide/directory-structure/composables
28,State,Use Pinia for complex state,Pinia integrates seamlessly with Nuxt for complex state management,Use @pinia/nuxt module for stores,Use Vuex or custom state management,"// stores/user.ts
export const useUserStore = defineStore('user', {
  state: () => ({ items: [] }),
  actions: {
    async fetch() {
      this.items = await $fetch('/api/users')
    }
  }
})","// Custom global state
const globalState = reactive({})
export const useGlobalState = () => globalState",info,https://nuxt.com/docs/getting-started/state-management#using-pinia
29,State,Avoid state pollution in SSR,Ensure state is scoped per-request in SSR to avoid leaking between users,Use useState or Pinia stores properly scoped,Use module-level reactive state,"// Correct: per-request state
export const useCart = () => {
  return useState('cart', () => [])
}","// DANGEROUS: shared between requests
const cart = reactive([])
export const useCart = () => cart",error,https://nuxt.com/docs/getting-started/state-management
30,State,Clear state on logout,Reset all user-related state when users log out,Use clearNuxtState or manually reset stores,Leave stale user data in state,"const logout = () => {
  clearNuxtState()
  // or
  userStore.$reset()
  navigateTo('/login')
}","const logout = () => {
  navigateTo('/login')
  // Old user data still in state
}",error,https://nuxt.com/docs/api/utils/clear-nuxt-state
31,SEO,Use useSeoMeta for meta tags,useSeoMeta provides type-safe SEO meta tag management,Use useSeoMeta for all SEO-related meta tags,Manually create meta tags with useHead,"useSeoMeta({
  title: 'My Page',
  ogTitle: 'My Page',
  description: 'Page description',
  ogDescription: 'Page description',
  ogImage: 'https://example.com/image.png'
})","useHead({
  meta: [
    { name: 'description', content: '...' },
    { property: 'og:title', content: '...' }
  ]
})",warning,https://nuxt.com/docs/api/composables/use-seo-meta
32,SEO,Implement dynamic meta tags,Update meta tags based on page content for better SEO,Compute meta tags from fetched data,Use static meta tags for dynamic content,"const { data } = await useFetch('/api/product/1')
useSeoMeta({
  title: () => data.value?.name,
  description: () => data.value?.description
})","useSeoMeta({
  title: 'Product Page',
  description: 'A product'
})",warning,https://nuxt.com/docs/getting-started/seo-meta#dynamic-meta-tags
33,SEO,Configure robots and sitemap,Set up proper robots.txt and sitemap for search engines,Use @nuxtjs/sitemap and robots modules,Manually create robots.txt and sitemap,"// nuxt.config.ts
export default defineNuxtConfig({
  modules: ['@nuxtjs/sitemap', '@nuxtjs/robots'],
  sitemap: {
    hostname: 'https://example.com'
  }
})","// Manual robots.txt in public/
// No dynamic sitemap",warning,https://nuxt.com/modules/sitemap
34,SEO,Add structured data,Implement JSON-LD structured data for rich search results,Use useHead or useSchemaOrg for structured data,Omit structured data for content pages,"useHead({
  script: [{
    type: 'application/ld+json',
    innerHTML: JSON.stringify({
      '@context': 'https://schema.org',
      '@type': 'Product',
      name: product.name
    })
  }]
})","// No structured data
// Missing rich snippet opportunities",info,https://nuxt.com/docs/getting-started/seo-meta#body-tags
35,SEO,Implement canonical URLs,Set canonical URLs to avoid duplicate content issues,Define canonical URLs for all pages,Allow duplicate URLs without canonicals,"useSeoMeta({
  title: 'Page Title'
})
useHead({
  link: [{ rel: 'canonical', href: 'https://example.com/page' }]
})","// No canonical URL
// /page and /page/ seen as duplicates",warning,https://nuxt.com/docs/getting-started/seo-meta
36,Middleware,Organize middleware by scope,Separate global inline and named middleware appropriately,Create named middleware for reusable logic,Put all middleware logic inline in pages,"// middleware/auth.global.ts (runs on all routes)
// middleware/admin.ts (named, opt-in)
definePageMeta({
  middleware: 'admin'
})","// Inline in every page
definePageMeta({
  middleware: (to) => {
    // Duplicated auth logic
  }
})",warning,https://nuxt.com/docs/guide/directory-structure/middleware
37,Middleware,Handle async operations in middleware,Properly handle async operations and redirects in middleware,Return navigateTo or abortNavigation for redirects,Perform side effects without proper returns,"export default defineNuxtRouteMiddleware(async (to) => {
  const auth = await checkAuth()
  if (!auth) {
    return navigateTo('/login')
  }
})","export default defineNuxtRouteMiddleware(async (to) => {
  const auth = await checkAuth()
  if (!auth) {
    window.location.href = '/login'
  }
})",error,https://nuxt.com/docs/guide/directory-structure/middleware
38,Middleware,Order middleware execution,Control middleware execution order with numbered prefixes,Use numbered prefixes for execution order,Rely on alphabetical order accidentally,"// middleware/01.auth.global.ts
// middleware/02.analytics.global.ts
// middleware/03.feature-flags.global.ts","// middleware/analytics.global.ts
// middleware/auth.global.ts
// Runs in wrong order",warning,https://nuxt.com/docs/guide/directory-structure/middleware#middleware-order
39,Middleware,Use route rules for simple cases,For simple redirects use routeRules instead of middleware,Configure redirects in nuxt.config.ts routeRules,Create middleware for simple redirects,"export default defineNuxtConfig({
  routeRules: {
    '/old-page': { redirect: '/new-page' },
    '/old/**': { redirect: '/new/**' }
  }
})","// middleware/redirect.ts
if (to.path === '/old-page') {
  return navigateTo('/new-page')
}",info,https://nuxt.com/docs/guide/concepts/rendering#route-rules
40,Error Handling,Create custom error page,Implement error.vue for handling application errors gracefully,Create error.vue in root with proper error display,Let default error page show to users,"// error.vue
<script setup>
const props = defineProps(['error'])
const handleError = () => clearError({ redirect: '/' })
</script>
<template>
  <div>
    <h1>{{ error.statusCode }}</h1>
    <button @click=""handleError"">Go home</button>
  </div>
</template>","// No error.vue
// Users see ugly default error",warning,https://nuxt.com/docs/getting-started/error-handling#error-page
41,Error Handling,Use showError for fatal errors,showError triggers the error page for unrecoverable errors,Use showError for page-level fatal errors,Throw plain errors without proper handling,"if (!product.value) {
  throw showError({
    statusCode: 404,
    statusMessage: 'Product not found'
  })
}","if (!product.value) {
  throw new Error('Not found')
  // No proper error page
}",error,https://nuxt.com/docs/api/utils/show-error
42,Error Handling,Handle component-level errors,Use NuxtErrorBoundary for isolated error handling,Wrap risky components in NuxtErrorBoundary,Let component errors crash the page,"<NuxtErrorBoundary>
  <RiskyComponent />
  <template #error=""{ error, clearError }"">
    <p>Error: {{ error.message }}</p>
    <button @click=""clearError"">Retry</button>
  </template>
</NuxtErrorBoundary>","<template>
  <RiskyComponent />
  <!-- Crashes entire page on error -->
</template>",warning,https://nuxt.com/docs/api/components/nuxt-error-boundary
43,Error Handling,Log errors to monitoring service,Send errors to external monitoring services like Sentry,Integrate error tracking in plugins,Only log errors to console,"// plugins/sentry.client.ts
export default defineNuxtPlugin((nuxtApp) => {
  nuxtApp.hook('vue:error', (error) => {
    Sentry.captureException(error)
  })
})","// Only console logging
console.error(error)
// No production visibility",warning,https://nuxt.com/docs/api/advanced/hooks#vue-hooks
44,Link,Prefetch links intelligently,Control link prefetching for optimal performance,Disable prefetch for low-priority links,Prefetch all links by default,"<NuxtLink to=""/settings"" :prefetch=""false"">
  Settings
</NuxtLink>
<NuxtLink to=""/dashboard"" prefetch>
  Dashboard (important)
</NuxtLink>","<NuxtLink to=""/rarely-visited"">
  <!-- Prefetches unnecessarily -->
</NuxtLink>",info,https://nuxt.com/docs/api/components/nuxt-link#prefetch
45,Link,Use external prop for outside links,Properly handle external links with NuxtLink,Set external prop for links outside your app,Use NuxtLink for all external URLs without config,"<NuxtLink to=""https://external.com"" external>
  External Site
</NuxtLink>","<NuxtLink to=""https://external.com"">
  External <!-- May cause issues -->
</NuxtLink>",warning,https://nuxt.com/docs/api/components/nuxt-link#external
46,Link,Handle active link states,Style active navigation links properly,Use exact or custom active classes,Ignore active state styling,"<NuxtLink
  to=""/about""
  active-class=""text-primary""
  exact-active-class=""font-bold""
>
  About
</NuxtLink>","<NuxtLink to=""/about"">
  About <!-- No active indication -->
</NuxtLink>",info,https://nuxt.com/docs/api/components/nuxt-link#activeclass
47,Auto Imports,Leverage auto-imports,Nuxt auto-imports composables utils and Vue APIs,Use auto-imported functions directly,Manually import auto-imported items,"<script setup>
const route = useRoute()
const { data } = await useFetch('/api/data')
const count = ref(0)
</script>","<script setup>
import { ref } from 'vue'
import { useRoute } from 'vue-router'
import { useFetch } from '#app'
// Unnecessary imports
</script>",info,https://nuxt.com/docs/guide/concepts/auto-imports
48,Auto Imports,Configure custom auto-imports,Add custom directories or imports to auto-import configuration,Configure imports in nuxt.config.ts,Import utilities manually everywhere,"// nuxt.config.ts
export default defineNuxtConfig({
  imports: {
    dirs: ['utils', 'stores']
  }
})","// Importing manually in every file
import { formatDate } from '~/utils/date'",info,https://nuxt.com/docs/guide/directory-structure/composables#how-files-are-scanned
49,Auto Imports,Use explicit imports for clarity,Enable explicit imports in large codebases for better IDE support,Use #imports for explicit imports when needed,Disable auto-imports entirely,"<script setup>
import { useFetch, useRoute } from '#imports'
// Explicit for clarity
</script>","// nuxt.config.ts
imports: { autoImport: false }
// Loses Nuxt benefits",info,https://nuxt.com/docs/guide/concepts/auto-imports#explicit-imports
50,Plugins,Create plugins for global functionality,Use plugins for app-wide initialization and third-party integrations,Register plugins in plugins/ directory,Initialize global code in components,"// plugins/analytics.client.ts
export default defineNuxtPlugin(() => {
  // Client-only analytics init
})","// App.vue
onMounted(() => {
  initAnalytics() // Wrong place
})",warning,https://nuxt.com/docs/guide/directory-structure/plugins
51,Plugins,Provide and inject dependencies,Use provide/inject pattern in plugins for dependency injection,Provide services through plugins,Create singleton instances in utils,"// plugins/api.ts
export default defineNuxtPlugin(() => {
  const api = new ApiClient()
  return { provide: { api } }
})
// Usage: const { $api } = useNuxtApp()","// utils/api.ts
export const api = new ApiClient()
// Singleton issues in SSR",warning,https://nuxt.com/docs/guide/directory-structure/plugins#providing-helpers
52,Plugins,Control plugin execution order,Specify plugin dependencies and ordering,Use dependsOn for plugin dependencies,Rely on file naming for critical order,"// plugins/02.auth.ts
export default defineNuxtPlugin({
  dependsOn: ['01.api'],
  setup() {
    const { $api } = useNuxtApp()
  }
})","// plugins/auth.ts
const { $api } = useNuxtApp()
// $api might not exist yet",warning,https://nuxt.com/docs/guide/directory-structure/plugins#plugin-registration-order
53,Environment,Use runtime config for environment variables,runtimeConfig provides type-safe access to environment variables,Define variables in runtimeConfig,Access process.env directly in components,"// nuxt.config.ts
export default defineNuxtConfig({
  runtimeConfig: {
    apiSecret: '',
    public: { apiBase: '' }
  }
})
// Usage
const config = useRuntimeConfig()","// Direct access
const api = process.env.API_URL
// Not available client-side",error,https://nuxt.com/docs/guide/going-further/runtime-config
54,Environment,Separate public and private config,Keep sensitive values in private runtimeConfig,Put client-safe values in runtimeConfig.public only,Expose secrets in public config,"runtimeConfig: {
  dbPassword: '', // Server only
  public: {
    apiBase: '' // Safe for client
  }
}","runtimeConfig: {
  public: {
    dbPassword: '' // EXPOSED!
  }
}",error,https://nuxt.com/docs/guide/going-further/runtime-config#exposing-runtime-config
55,Environment,Type runtime config,Add TypeScript types for runtime config,Extend RuntimeConfig interface for type safety,Use untyped config access,"// nuxt.config.ts
declare module 'nuxt/schema' {
  interface RuntimeConfig {
    apiSecret: string
  }
  interface PublicRuntimeConfig {
    apiBase: string
  }
}","const config = useRuntimeConfig()
config.unknownKey // No type error",info,https://nuxt.com/docs/guide/going-further/runtime-config#typing-runtime-config
56,Performance,Optimize component imports,Use dynamic imports for heavy components,Lazy load heavy components with defineAsyncComponent,Import all components statically,"const HeavyChart = defineAsyncComponent(() =>
  import('~/components/HeavyChart.vue')
)","import HeavyChart from '~/components/HeavyChart.vue'
// Loaded even if not shown",warning,https://nuxt.com/docs/guide/directory-structure/components#dynamic-imports
57,Performance,Enable payload extraction,Extract and cache payloads for static routes,Enable payloadExtraction for prerendered routes,Inline all data in HTML,"export default defineNuxtConfig({
  experimental: {
    payloadExtraction: true
  }
})","// All data inlined
// Larger HTML files",info,https://nuxt.com/docs/guide/going-further/experimental-features#payloadextraction
58,Performance,Use component islands,Isolate interactive components to reduce JS bundle,Use NuxtIsland for isolated interactivity,Ship all JS for every component,"// nuxt.config.ts
experimental: { componentIslands: true }
// components/Counter.server.vue
<NuxtIsland name=""Counter"" :props=""{ initial: 0 }"" />","// All components ship JS
// Even mostly static pages",info,https://nuxt.com/docs/guide/directory-structure/components#server-components
