No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
22,Stores,Use $ prefix to subscribe,Auto-subscribe to stores using $ prefix in components,Use $ syntax for store values,Manually subscribe to stores,"import { user } from './stores'
{#if $user}
  <p>Welcome, {$user.name}</p>
{/if}","import { user } from './stores'
let userData
user.subscribe(u => userData = u)
// Must unsubscribe manually!",error,https://svelte.dev/docs/svelte/svelte-store#$store
23,Stores,Create derived stores,Use derived for computed store values,Use derived() for values based on other stores,Create separate stores and sync manually,"import { derived } from 'svelte/store'
export const fullName = derived(
  [firstName, lastName],
  ([$first, $last]) => `${$first} ${$last}`
)","// Manual sync - error prone
firstName.subscribe(f => {
  fullName.set(`${f} ${get(lastName)}`)
})
lastName.subscribe(l => {
  fullName.set(`${get(firstName)} ${l}`)
})",warning,https://svelte.dev/docs/svelte/svelte-store#derived
24,Stores,Use readable for external data,Readable stores wrap external data sources,Use readable for subscriptions to external sources,Create writable stores for read-only data,"import { readable } from 'svelte/store'
export const time = readable(new Date(), (set) => {
  const interval = setInterval(() => set(new Date()), 1000)
  return () => clearInterval(interval)
})","export const time = writable(new Date())
setInterval(() => time.set(new Date()), 1000)
// No cleanup, continues after unmount",warning,https://svelte.dev/docs/svelte/svelte-store#readable
25,Slots,Use slots for component composition,Slots allow flexible content injection,Use slots for customizable content areas,Hardcode all content in components,"<!-- Card.svelte -->
<div class=""card"">
  <header><slot name=""header"" /></header>
  <main><slot /></main>
  <footer><slot name=""footer"" /></footer>
</div>
<!-- Usage -->
<Card>
  <h2 slot=""header"">Title</h2>
  <p>Content</p>
</Card>","<!-- No slots -->
<Card title=""Title"" content=""Content"" />
// Limited flexibility",warning,https://svelte.dev/docs/svelte/slot
26,Slots,Provide slot fallbacks,Default content shows when slot is empty,Add fallback content for optional slots,Leave slots empty without fallback,"<slot name=""icon"">
  <DefaultIcon />
</slot>
<slot>
  <p>No content provided</p>
</slot>","<slot name=""icon""></slot>
<!-- Nothing shows if not provided -->",info,https://svelte.dev/docs/svelte/slot#Fallback-content
27,Slots,Use slot props for data passing,Pass data from child to parent through slots,Use let: directive to receive slot props,Access child data through bindings only,"<!-- List.svelte -->
{#each items as item}
  <slot {item} />
{/each}
<!-- Usage -->
<List {items} let:item>
  <ItemCard {item} />
</List>","<!-- No slot props -->
{#each items as item}
  <ItemCard {item} />
{/each}
// Less flexible",info,https://svelte.dev/docs/svelte/slot#Slot-props
28,Styling,Use scoped styles by default,Svelte styles are scoped to the component,Write CSS in component style tags,Use global stylesheets for component styles,"<style>
  .card {
    padding: 1rem;
    border-radius: 8px;
  }
</style>","/* global.css */
.card {
  padding: 1rem;
  /* Affects all .card elements */
}",warning,https://svelte.dev/docs/svelte/scoped-styles
29,Styling,Use :global() sparingly,Global styles escape scoping and can cause conflicts,Use :global() only when necessary,Make all styles global,"<style>
  .wrapper :global(.third-party-class) {
    color: red;
  }
</style>","<style>
  :global(.card) {
    padding: 1rem;
  }
</style>
// Pollutes global scope",warning,https://svelte.dev/docs/svelte/scoped-styles#:global
30,Styling,Use CSS custom properties for theming,CSS variables enable runtime theming,Use custom properties for theme values,Hardcode colors throughout,"<style>
  .button {
    background: var(--primary, #007bff);
    color: var(--on-primary, white);
  }
</style>","<style>
  .button {
    background: #007bff;
    color: white;
  }
</style>
// Hard to theme",info,https://svelte.dev/docs/svelte/scoped-styles
31,Styling,Use class: directive for conditional classes,Class directive provides clean conditional class application,Use class:name syntax for toggles,Build class strings manually,"<div
  class=""card""
  class:active={isActive}
  class:disabled={isDisabled}
>","<div class=""{`card ${isActive ? 'active' : ''} ${isDisabled ? 'disabled' : ''}`}"">
// Messy string concatenation",warning,https://svelte.dev/docs/svelte/class
32,Transitions,Use built-in transitions,Svelte provides optimized transition functions,Use transition: directive with built-ins,Create CSS transitions manually,"<script>
  import { fade, slide, fly } from 'svelte/transition'
</script>
{#if visible}
  <div transition:fade>Fades in/out</div>
{/if}","<div
  class=""{visible ? 'opacity-100' : 'opacity-0'}""
  style=""transition: opacity 0.3s""
>",info,https://svelte.dev/docs/svelte/transition
33,Transitions,Use in: and out: for different animations,Separate entry and exit transitions when needed,Use in: and out: for asymmetric transitions,Use same transition for both directions,"<div
  in:fly={{ y: 50, duration: 300 }}
  out:fade={{ duration: 150 }}
>
  Different enter/exit
</div>","<div transition:fly={{ y: 50 }}>
  Same both ways
</div>",info,https://svelte.dev/docs/svelte/transition#The-transition-directive
34,Transitions,Animate list changes with animate:,Use animate directive for list reordering,Use animate:flip for list item movement,Let items jump without animation,"{#each items as item (item.id)}
  <div animate:flip={{ duration: 300 }}>
    {item.name}
  </div>
{/each}","{#each items as item (item.id)}
  <div>{item.name}</div>
{/each}
// Items jump abruptly",info,https://svelte.dev/docs/svelte/animate
35,Transitions,Use local transitions for conditional blocks,Local transitions only play when direct parent changes,Add |local for nested conditional transitions,Let all ancestors trigger transitions,"<div transition:slide|local>
  Only animates when immediate condition changes
</div>","<div transition:slide>
  <!-- Animates when any ancestor condition changes -->
</div>",warning,https://svelte.dev/docs/svelte/transition#Local-vs-global
36,Actions,Create reusable behavior with actions,Actions add reusable behavior to DOM elements,Use use: directive for DOM behaviors,Duplicate DOM logic across components,"// actions/clickOutside.js
export function clickOutside(node, callback) {
  const handleClick = (e) => {
    if (!node.contains(e.target)) callback()
  }
  document.addEventListener('click', handleClick)
  return {
    destroy: () => document.removeEventListener('click', handleClick)
  }
}
<div use:clickOutside={() => open = false}>","// Duplicated in every component
onMount(() => {
  const handleClick = (e) => {...}
  document.addEventListener('click', handleClick)
  return () => document.removeEventListener(...)
})",warning,https://svelte.dev/docs/svelte/use
37,Actions,Return update and destroy functions,Actions should handle parameter updates and cleanup,Return object with update and destroy,Forget cleanup or ignore updates,"export function tooltip(node, text) {
  let tip = createTooltip(node, text)
  return {
    update(newText) {
      tip.setText(newText)
    },
    destroy() {
      tip.remove()
    }
  }
}","export function tooltip(node, text) {
  createTooltip(node, text)
  // No cleanup - memory leak
  // No update - stale content
}",error,https://svelte.dev/docs/svelte/use#Action-parameters
38,Logic,Use {#if} for conditional rendering,If blocks conditionally render content,Use {#if} for showing/hiding content,Use CSS display:none for conditional content,"{#if user}
  <UserProfile {user} />
{:else if loading}
  <LoadingSpinner />
{:else}
  <LoginForm />
{/if}","<div style=""display: {user ? 'block' : 'none'}"">
  <UserProfile {user} />
</div>
// Component still mounted",warning,https://svelte.dev/docs/svelte/logic-blocks#if
39,Logic,Use keyed {#each} for lists,Provide unique keys for list items to enable proper diffing,Add unique key to each block,Use index as key or omit key,"{#each users as user (user.id)}
  <UserCard {user} />
{/each}","{#each users as user, index (index)}
  <UserCard {user} />
{/each}
// Index key causes issues on reorder",error,https://svelte.dev/docs/svelte/logic-blocks#each
40,Logic,Handle empty lists gracefully,Show fallback content when list is empty,Use {:else} clause in each blocks,Check length before each block,"{#each items as item}
  <Item {item} />
{:else}
  <EmptyState message=""No items found"" />
{/each}","{#if items.length}
  {#each items as item}
    <Item {item} />
  {/each}
{:else}
  <EmptyState />
{/if}
// More verbose",info,https://svelte.dev/docs/svelte/logic-blocks#else
41,Logic,Use {#await} for promises,Await blocks handle promise states declaratively,Use {#await} for async data display,Manually track loading/error states,"{#await fetchUser()}
  <LoadingSpinner />
{:then user}
  <UserProfile {user} />
{:catch error}
  <ErrorMessage {error} />
{/await}","<script>
  let user, loading = true, error
  fetchUser()
    .then(u => { user = u; loading = false })
    .catch(e => { error = e; loading = false })
</script>",warning,https://svelte.dev/docs/svelte/logic-blocks#await
42,SvelteKit,Use load functions for data fetching,SvelteKit load functions run on server and client,Fetch data in +page.js or +page.server.js,Fetch data in component onMount,"// +page.server.js
export async function load({ params }) {
  const user = await db.getUser(params.id)
  return { user }
}
// +page.svelte
<script>
  let { data } = $props()
</script>
<h1>{data.user.name}</h1>","// +page.svelte
<script>
  let user = $state()
  $effect(() => {
    fetch(`/api/user`).then(r => r.json()).then(u => user = u)
  })
</script>
// No SSR, loading flash",error,https://kit.svelte.dev/docs/load
43,SvelteKit,Use form actions for mutations,Form actions handle server-side mutations securely,Use +page.server.js actions for forms,Create API routes for form submissions,"// +page.server.js
export const actions = {
  create: async ({ request }) => {
    const data = await request.formData()
    await db.create(data)
  }
}
// +page.svelte
<form method=""POST"" action=""?/create"">","// +server.js
export async function POST({ request }) {...}
// +page.svelte
<form on:submit={async () => {
  await fetch('/api', { method: 'POST' })
}}>",warning,https://kit.svelte.dev/docs/form-actions
44,SvelteKit,Handle errors in load functions,Properly handle and display errors from data loading,Throw error() for expected errors,Return error in data object,"import { error } from '@sveltejs/kit'
export async function load({ params }) {
  const user = await db.getUser(params.id)
  if (!user) throw error(404, 'User not found')
  return { user }
}","export async function load({ params }) {
  const user = await db.getUser(params.id)
  if (!user) return { error: 'Not found' }
  return { user }
}
// No proper error page",error,https://kit.svelte.dev/docs/errors
45,SvelteKit,Use layouts for shared UI,Layouts wrap pages with shared structure,Create +layout.svelte for shared UI,Duplicate layout code in pages,"// +layout.svelte
<Nav />
<main>
  <slot />
</main>
<Footer />","// Every +page.svelte
<Nav />
<main>
  <!-- Page content -->
</main>
<Footer />",warning,https://kit.svelte.dev/docs/routing#layout
46,Performance,Avoid unnecessary reactivity,Not all values need to be reactive state,Use const for values that don't change,Make static values reactive,"<script>
  const API_URL = '/api/users'
  const columns = ['name', 'email', 'role']
  let users = $state([])
</script>","<script>
  let API_URL = $state('/api/users')
  let columns = $state(['name', 'email'])
  // Unnecessary reactivity overhead
</script>",warning,https://svelte.dev/docs/svelte/$state
47,Performance,Use {#key} for component remounting,Key blocks destroy and recreate content when key changes,Use {#key} when component must fully reset,Manually reset component state,"{#key userId}
  <UserProfile {userId} />
{/key}
// Component recreated when userId changes","<UserProfile {userId} />
// Must manually reset internal state
<script>
  $effect(() => { resetState() })
</script>",info,https://svelte.dev/docs/svelte/logic-blocks#key
48,Performance,Minimize store subscriptions,Each $ subscription adds overhead,Subscribe once and derive values,Subscribe to same store multiple times,"<script>
  import { user } from './stores'
  let userName = $derived($user?.name)
  let userEmail = $derived($user?.email)
</script>","<script>
  import { user } from './stores'
</script>
<p>{$user?.name}</p>
<p>{$user?.email}</p>
<p>{$user?.role}</p>
// Multiple subscriptions",info,https://svelte.dev/docs/svelte/svelte-store
49,Performance,Use onMount for client-only code,Code in onMount only runs in browser,Use onMount for browser APIs,Access window/document at top level,"import { onMount } from 'svelte'
onMount(() => {
  const width = window.innerWidth
  // Safe: only runs in browser
})","<script>
  const width = window.innerWidth
  // Error: window undefined on server
</script>",error,https://svelte.dev/docs/svelte/lifecycle-hooks#onMount
50,TypeScript,Enable strict TypeScript,Use TypeScript for type safety,Configure strict mode in tsconfig,Use TypeScript without strict mode,"// tsconfig.json
{
  ""compilerOptions"": {
    ""strict"": true
  }
}","// tsconfig.json
{
  ""compilerOptions"": {
    ""strict"": false
  }
}",warning,https://svelte.dev/docs/svelte/typescript
51,TypeScript,Type component props properly,Define interfaces for component props,Create Props interface and type destructuring,Leave props untyped or use any,"<script lang=""ts"">
  interface Props {
    name: string
    count?: number
    onUpdate: (value: number) => void
  }
  let { name, count = 0, onUpdate }: Props = $props()
</script>","<script lang=""ts"">
  let { name, count, onUpdate }: any = $props()
</script>",warning,https://svelte.dev/docs/svelte/typescript
52,Accessibility,Use semantic HTML elements,Proper HTML elements provide built-in accessibility,Use button nav header main footer etc,Use divs for everything,"<nav aria-label=""Main"">
  <button onclick={toggle}>Menu</button>
</nav>
<main>
  <article>...</article>
</main>","<div class=""nav"">
  <div class=""button"" onclick={toggle}>Menu</div>
</div>
<div class=""main"">...</div>",error,https://svelte.dev/docs/accessibility-warnings
53,Accessibility,Add ARIA attributes where needed,ARIA attributes enhance accessibility for dynamic content,Add aria-* attributes for dynamic UI,Omit accessibility attributes,"<button
  aria-expanded={isOpen}
  aria-controls=""menu""
  onclick={() => isOpen = !isOpen}
>
  Menu
</button>
<div id=""menu"" role=""menu"" aria-hidden={!isOpen}>","<button onclick={() => isOpen = !isOpen}>
  Menu
</button>
<div class=""menu"">
  <!-- No a11y attributes -->
</div>",error,https://svelte.dev/docs/accessibility-warnings#a11y-role-has-required-aria-props
