No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
29,Templates,Use v-if for conditional rendering,v-if completely removes elements from DOM,Use v-if for expensive components or rare conditions,Use v-show for expensive components,"<Modal v-if='isOpen' />","<Modal v-show='isOpen' /> // always in DOM",medium,https://vuejs.org/guide/essentials/conditional#v-if-vs-v-show
30,Templates,Use v-show for frequent toggling,v-show uses CSS display and is faster for frequent changes,Use v-show for elements toggled often,Use v-if for frequently toggled elements,"<Tooltip v-show='hovering' />","<Tooltip v-if='hovering' /> // frequent mount/unmount",medium,https://vuejs.org/guide/essentials/conditional#v-if-vs-v-show
31,Templates,Use key with v-for,Keys help Vue track list items efficiently,Use unique stable IDs as keys,Use array index as key for dynamic lists,"v-for='item in items' :key='item.id'","v-for='(item, i) in items' :key='i'",critical,https://vuejs.org/guide/essentials/list#maintaining-state-with-key
32,Templates,Avoid v-if with v-for,v-if has higher priority causing unexpected behavior,Use computed to filter list before v-for,Put v-if on same element as v-for,"const filtered = computed(() => items.filter(...))<li v-for='item in filtered'>","<li v-for='item in items' v-if='item.active'>",high,https://vuejs.org/style-guide/rules-essential#avoid-v-if-with-v-for
33,State,Use Pinia for global state,Pinia is the recommended state management for Vue 3,Use Pinia stores for shared state,Use Vuex or provide/inject for global state,"const store = useUserStore()","const state = inject('globalState')",high,https://pinia.vuejs.org/introduction
34,State,Define stores with composition syntax,Use setup stores for better TypeScript support,Define store using setup function,Use options syntax for stores,"defineStore('counter', () => { const count = ref(0); return { count } })","defineStore('counter', { state: () => ({ count: 0 }) })",medium,https://pinia.vuejs.org/core-concepts/#setup-stores
35,State,Use storeToRefs for reactive destructuring,storeToRefs maintains reactivity when destructuring,Use storeToRefs for state and getters,Destructure store directly losing reactivity,"const { count } = storeToRefs(store)","const { count } = store // count is not reactive",critical,https://pinia.vuejs.org/core-concepts/#using-the-store
36,Routing,Use route params reactively,Access route params with useRoute composable,Use useRoute().params reactively,Access $route in setup,"const route = useRoute(); const id = computed(() => route.params.id)","// Options API: this.$route.params.id",medium,https://router.vuejs.org/guide/advanced/composition-api
37,Routing,Use router for navigation,Navigate programmatically with useRouter,Use router.push for navigation,Use window.location for internal navigation,"const router = useRouter(); router.push('/dashboard')","window.location.href = '/dashboard'",high,https://router.vuejs.org/guide/essentials/navigation
38,Routing,Implement route guards properly,Use navigation guards for auth and permissions,Use beforeEach for global auth checks,Check auth in every component,"router.beforeEach((to) => { if (to.meta.requiresAuth && !isAuth) return '/login' })","// Check auth in each page component",high,https://router.vuejs.org/guide/advanced/navigation-guards
39,Performance,Use v-once for static content,v-once renders element once and skips future updates,Use v-once for truly static content,Use v-once on dynamic content,"<header v-once>{{ staticTitle }}</header>","<header v-once>{{ dynamicTitle }}</header>",low,https://vuejs.org/api/built-in-directives#v-once
40,Performance,Use v-memo for expensive lists,v-memo caches template based on dependency array,Use v-memo for list items with expensive templates,Use v-memo everywhere prematurely,"<div v-for='item in list' v-memo='[item.id, item.selected]'>","<div v-memo='[]'> // never updates",medium,https://vuejs.org/api/built-in-directives#v-memo
41,Performance,Use KeepAlive for cached components,KeepAlive preserves component state when switching,Use KeepAlive for tabs or route components,Use KeepAlive for all components,"<KeepAlive><component :is='currentTab' /></KeepAlive>","// Component remounts on every tab switch",medium,https://vuejs.org/guide/built-ins/keep-alive
42,TypeScript,Use defineComponent for type inference,defineComponent enables proper TypeScript support,Wrap components in defineComponent,Export plain objects without defineComponent,"export default defineComponent({ setup() { } })","export default { setup() { } }",medium,https://vuejs.org/guide/typescript/overview#definecomponent
43,TypeScript,Type template refs correctly,Use ref<HTMLElement | null> for template refs,Type refs with specific element type,Use untyped refs for template elements,"const input = ref<HTMLInputElement | null>(null)","const input = ref(null)",medium,https://vuejs.org/guide/typescript/composition-api#typing-template-refs
44,TypeScript,Use PropType for complex props,Define complex prop types with PropType helper,Use PropType for object and function props,Use Object as prop type,"defineProps({ user: { type: Object as PropType<User> } })","defineProps({ user: Object })",high,https://vuejs.org/guide/typescript/options-api#typing-component-props
45,Testing,Use Vue Test Utils for component tests,Official testing library for Vue components,Use mount or shallowMount for component tests,Test components with generic DOM testing,"const wrapper = mount(Component); expect(wrapper.text()).toContain('Hello')","document.body.innerHTML = '...'; // DOM testing",medium,https://test-utils.vuejs.org/guide/
46,Testing,Test component behavior not internals,Write tests that resemble user interactions,Test rendered output and user interactions,Test internal data or methods directly,"await wrapper.find('button').trigger('click'); expect(wrapper.emitted('submit')).toBeTruthy()","expect(wrapper.vm.internalMethod).toHaveBeenCalled()",high,https://test-utils.vuejs.org/guide/essentials/a-crash-course
47,Forms,Use v-model for form inputs,v-model provides two-way binding for form fields,Use v-model on input select textarea,Manually bind value and handle input,"<input v-model='name' />","<input :value='name' @input='name = $event.target.value' />",medium,https://vuejs.org/guide/essentials/forms
48,Accessibility,Use semantic HTML in templates,Prefer native HTML elements over divs with ARIA,Use button for clickable actions,Use div with click handler for buttons,"<button @click='submit'>Submit</button>","<div @click='submit' role='button'>Submit</div>",high,https://vuejs.org/guide/best-practices/accessibility
49,SSR,Use Nuxt for SSR applications,Nuxt provides SSR hydration and routing out of the box,Use Nuxt for SSR/SSG Vue applications,Build custom SSR setup from scratch,"npx nuxi init my-app","// Custom Vue SSR implementation",high,https://nuxt.com/docs/getting-started/introduction
