No,Product Type,Primary Color,Primary Hex,Secondary Color,Secondary Hex,CTA Color,CTA Hex,Background Color,Background Hex,Text Color,Text Hex,Border Color,Border Hex,Accent Color,Accent Hex,Color Psychology,Usage Notes
25,Architecture Design,Charcoal,#374151,White,#FFFFFF,Gold,#B45309,Light Gray,#F3F4F6,Black,#000000,Medium Gray,#9CA3AF,Copper,#B45309,Sophistication and precision,Minimalist monochrome approach
26,Logistics Shipping,Orange,#EA580C,Blue,#2563EB,Green,#22C55E,White,#FFFFFF,Dark Blue,#1E3A8A,Light Orange,#FED7AA,Yellow,#FBBF24,Speed and reliability,Orange conveys movement
27,Hospitality Hotel,Gold,#B45309,Burgundy,#7F1D1D,Navy,#1E3A8A,Cream,#FFFBEB,Dark Brown,#451A03,Warm Beige,#FDE68A,Bronze,#92400E,Luxury and comfort,Rich warm tones
28,Manufacturing Industrial,Steel Blue,#475569,Orange,#EA580C,Yellow,#EAB308,Light Gray,#F1F5F9,Dark Blue,#1E3A5F,Silver,#CBD5E1,Red,#DC2626,Strength and efficiency,Industrial color scheme
29,Event Planning,Purple,#7C3AED,Gold,#D97706,Pink,#EC4899,White,#FFFFFF,Dark Purple,#581C87,Lavender,#E9D5FF,Coral,#FB7185,Celebration and elegance,Festive vibrant palette
30,Consulting Services,Navy,#1E3A8A,Gray,#6B7280,Teal,#0D9488,White,#FFFFFF,Dark Navy,#0F172A,Light Gray,#E5E7EB,Gold,#B45309,Expertise and trust,Professional conservative colors
31,Energy Utilities,Green,#16A34A,Blue,#2563EB,Yellow,#EAB308,White,#FFFFFF,Dark Green,#166534,Light Green,#DCFCE7,Orange,#F97316,Sustainability and power,Green for eco-friendly messaging
32,Telecom,Blue,#2563EB,Purple,#7C3AED,Magenta,#D946EF,White,#FFFFFF,Dark Blue,#1E40AF,Light Blue,#DBEAFE,Cyan,#06B6D4,Connection and innovation,Tech-forward palette
33,Sports Athletics,Red,#DC2626,Black,#000000,Gold,#EAB308,White,#FFFFFF,Dark Red,#7F1D1D,Gray,#6B7280,Orange,#F97316,Energy and competition,Bold dynamic colors
34,Photography,Black,#000000,White,#FFFFFF,Gold,#B45309,Dark Gray,#1F2937,Light Gray,#F3F4F6,Medium Gray,#6B7280,Red,#EF4444,Creativity and elegance,Neutral to not compete with photos
35,Security Cybersecurity,Dark Blue,#1E3A5F,Green,#22C55E,Red,#DC2626,Near Black,#0F172A,White,#FFFFFF,Slate,#475569,Cyan,#06B6D4,Protection and vigilance,Dark mode with alert colors
36,Marketing Agency,Coral,#F97316,Teal,#14B8A6,Yellow,#FBBF24,White,#FFFFFF,Dark Coral,#C2410C,Light Teal,#CCFBF1,Pink,#F472B6,Creativity and results,Vibrant attention-grabbing palette
37,Environmental,Forest Green,#166534,Earth Brown,#78350F,Sky Blue,#0EA5E9,Natural Cream,#FEFCE8,Dark Green,#14532D,Sage,#BEF264,Terracotta,#B45309,Nature and sustainability,Organic natural palette
38,Aerospace,Silver,#94A3B8,Navy,#1E3A8A,White,#FFFFFF,Dark Blue,#0F172A,Light Gray,#F1F5F9,Steel,#64748B,Gold,#B45309,Innovation and precision,Futuristic metallic tones
39,Fashion Luxury,Black,#000000,Gold,#B45309,White,#FFFFFF,Charcoal,#1F2937,Cream,#FFFBEB,Dark Gray,#374151,Rose Gold,#B76E79,Exclusivity and elegance,Minimal luxurious palette
40,Startup Tech,Electric Blue,#3B82F6,Purple,#8B5CF6,Green,#22C55E,White,#FFFFFF,Dark Blue,#1E40AF,Light Purple,#EDE9FE,Orange,#F97316,Innovation and growth,Modern vibrant startup look
41,Government Public,Navy Blue,#1E3A8A,Red,#DC2626,White,#FFFFFF,Light Gray,#F3F4F6,Dark Blue,#172554,Medium Gray,#9CA3AF,Gold,#B45309,Authority and patriotism,Formal institutional colors
42,Pharmaceutical,Teal,#0F766E,White,#FFFFFF,Blue,#2563EB,Light Teal,#F0FDFA,Dark Teal,#134E4A,Light Gray,#F1F5F9,Green,#22C55E,Health and science,Clinical clean palette
43,Interior Design,Warm Taupe,#A8A29E,Blush,#FECDD3,Gold,#D97706,Cream,#FFFBEB,Charcoal,#374151,Light Taupe,#E7E5E4,Terracotta,#C2410C,Elegance and comfort,Sophisticated neutral palette
44,Childcare Education,Primary Blue,#3B82F6,Primary Yellow,#FBBF24,Primary Red,#EF4444,Soft White,#FEFCE8,Navy,#1E3A8A,Light Blue,#DBEAFE,Green,#22C55E,Fun and safety,Bright primary colors for children
45,Wellness Spa,Sage Green,#84CC16,Lavender,#A78BFA,Rose,#FDA4AF,Soft Cream,#FEFCE8,Dark Sage,#3F6212,Light Lavender,#EDE9FE,Gold,#D97706,Relaxation and healing,Soft calming natural tones
46,AI Technology,Purple,#8B5CF6,Cyan,#06B6D4,Green,#22C55E,Dark Gray,#111827,White,#FFFFFF,Slate,#334155,Pink,#EC4899,Innovation and intelligence,Futuristic tech palette
47,Subscription Box,Coral,#F97316,Mint,#34D399,Gold,#D97706,White,#FFFFFF,Dark Coral,#9A3412,Light Mint,#D1FAE5,Purple,#A855F7,Excitement and discovery,Fun unboxing experience colors
48,B2B Enterprise,Navy,#1E3A8A,Steel Gray,#64748B,Teal,#0D9488,White,#FFFFFF,Dark Navy,#0F172A,Light Gray,#F1F5F9,Orange,#EA580C,Professionalism and reliability,Conservative enterprise palette
49,Podcast Audio,Orange,#F97316,Purple,#7C3AED,Green,#22C55E,Dark Gray,#1F2937,White,#FFFFFF,Medium Gray,#4B5563,Pink,#EC4899,Creativity and voice,Audio platform vibrant colors
50,Restaurant Dining,Burgundy,#7F1D1D,Gold,#B45309,Cream,#FFFBEB,Dark Brown,#451A03,White,#FFFFFF,Warm Gray,#78716C,Terracotta,#B45309,Appetite and sophistication,Warm inviting dining colors
51,Online Learning,Indigo,#4F46E5,Amber,#F59E0B,Green,#22C55E,Light Indigo,#EEF2FF,Dark Indigo,#312E81,Light Amber,#FEF3C7,Coral,#F97316,Knowledge and achievement,Motivating educational palette
52,Home Services,Blue,#2563EB,Orange,#EA580C,Green,#16A34A,White,#FFFFFF,Dark Blue,#1E40AF,Light Orange,#FFEDD5,Yellow,#EAB308,Trust and reliability,Approachable service colors
53,Jewelry Accessories,Rose Gold,#B76E79,Black,#000000,White,#FFFFFF,Soft Pink,#FDF2F8,Dark Rose,#9F1239,Champagne,#E7D4B5,Gold,#D97706,Luxury and elegance,Premium feminine palette
54,Art Gallery,White,#FFFFFF,Black,#000000,Gold,#B45309,Light Gray,#FAFAFA,Charcoal,#27272A,Medium Gray,#A1A1AA,Red,#DC2626,Sophistication and creativity,Minimal to showcase art
55,Coworking Space,Teal,#14B8A6,Coral,#F97316,Yellow,#EAB308,White,#FFFFFF,Dark Teal,#0F766E,Light Coral,#FFEDD5,Purple,#8B5CF6,Community and productivity,Modern collaborative palette
56,Legal Tech,Navy,#1E3A8A,Silver,#94A3B8,Teal,#0D9488,White,#FFFFFF,Dark Navy,#172554,Light Gray,#E5E7EB,Gold,#B45309,Trust and innovation,Traditional meets modern
57,Mental Health,Calming Blue,#60A5FA,Soft Green,#86EFAC,Lavender,#C4B5FD,Warm White,#FEFCE8,Navy,#1E3A8A,Light Blue,#DBEAFE,Peach,#FECACA,Peace and support,Therapeutic calming colors
58,Smart Home IoT,Electric Blue,#3B82F6,Slate,#475569,Green,#22C55E,Near Black,#0A0A0A,White,#FFFFFF,Dark Gray,#1F2937,Purple,#8B5CF6,Innovation and control,Modern tech smart palette
59,Recruitment HR,Blue,#2563EB,Teal,#14B8A6,Orange,#F97316,White,#FFFFFF,Dark Blue,#1E40AF,Light Teal,#CCFBF1,Green,#22C55E,Growth and opportunity,Professional growth palette
60,Wine Spirits,Burgundy,#7F1D1D,Gold,#B45309,Cream,#FFFBEB,Dark Purple,#581C87,White,#FFFFFF,Warm Taupe,#A8A29E,Bronze,#92400E,Sophistication and indulgence,Rich luxurious tones
61,Video Streaming,Red,#DC2626,Black,#000000,White,#FFFFFF,Dark Gray,#141414,Light Gray,#D4D4D4,Medium Gray,#525252,Purple,#A855F7,Entertainment and excitement,Dark mode viewing experience
62,Cloud Services,Sky Blue,#0EA5E9,Indigo,#6366F1,Orange,#F97316,White,#FFFFFF,Dark Blue,#0C4A6E,Light Blue,#E0F2FE,Green,#22C55E,Reliability and scale,Cloud and sky inspired
63,Grocery Delivery,Fresh Green,#22C55E,Orange,#F97316,Red,#EF4444,White,#FFFFFF,Dark Green,#166534,Light Green,#DCFCE7,Yellow,#FBBF24,Freshness and speed,Fresh produce inspired colors
64,Project Management,Purple,#7C3AED,Teal,#14B8A6,Yellow,#EAB308,White,#FFFFFF,Dark Purple,#5B21B6,Light Teal,#CCFBF1,Orange,#F97316,Organization and clarity,Task priority color coding
65,Customer Support,Friendly Blue,#3B82F6,Green,#22C55E,Orange,#F97316,White,#FFFFFF,Dark Blue,#1D4ED8,Light Blue,#DBEAFE,Yellow,#FBBF24,Trust and helpfulness,Approachable support colors
66,Venture Capital,Navy,#1E3A8A,Gold,#B45309,Green,#059669,White,#FFFFFF,Dark Navy,#0F172A,Light Gray,#F1F5F9,Bronze,#92400E,Success and prestige,Investment professional palette
67,Creative Agency,Magenta,#D946EF,Cyan,#06B6D4,Yellow,#FBBF24,White,#FFFFFF,Dark Magenta,#86198F,Light Cyan,#CFFAFE,Lime,#84CC16,Creativity and boldness,Eye-catching creative palette
68,Data Analytics,Deep Blue,#1E40AF,Teal,#0D9488,Orange,#F97316,Dark Blue,#0F172A,White,#FFFFFF,Slate,#475569,Green,#22C55E,Intelligence and insight,Data visualization colors
69,Meditation Mindfulness,Soft Purple,#A78BFA,Sage,#86EFAC,Blush,#FECDD3,Cream,#FFFBEB,Dark Purple,#6B21A8,Light Green,#DCFCE7,Coral,#FB7185,Peace and tranquility,Zen calming palette
70,Dental Healthcare,Clean Blue,#38BDF8,White,#FFFFFF,Mint,#34D399,Light Blue,#F0F9FF,Navy,#0C4A6E,Light Gray,#F1F5F9,Coral,#F97316,Cleanliness and care,Fresh clinical palette
71,Warehouse Logistics,Industrial Orange,#EA580C,Steel Blue,#475569,Yellow,#EAB308,White,#FFFFFF,Dark Gray,#1F2937,Light Orange,#FFEDD5,Red,#DC2626,Efficiency and safety,Industrial warning colors
72,Book Publishing,Classic Navy,#1E3A8A,Parchment,#FEF3C7,Burgundy,#7F1D1D,Cream,#FFFBF0,Dark Navy,#172554,Warm Gray,#D6D3D1,Gold,#B45309,Knowledge and tradition,Literary classic palette
73,Veterinary Pets,Teal,#14B8A6,Orange,#FB923C,Blue,#3B82F6,White,#FFFFFF,Dark Teal,#0F766E,Light Teal,#CCFBF1,Pink,#F472B6,Care and compassion,Friendly animal care colors
74,Marketplace Platform,Coral,#F97316,Teal,#0D9488,Purple,#8B5CF6,White,#FFFFFF,Dark Coral,#9A3412,Light Teal,#F0FDFA,Yellow,#FBBF24,Discovery and trust,Multi-vendor diverse palette
75,Construction Building,Safety Orange,#EA580C,Navy,#1E3A8A,Yellow,#EAB308,White,#FFFFFF,Dark Orange,#9A3412,Light Gray,#E5E7EB,Green,#22C55E,Safety and strength,Industrial construction palette
76,Fashion E-commerce,Blush Pink,#FBD5D5,Black,#000000,Gold,#D97706,White,#FFFFFF,Dark Pink,#9D174D,Light Gray,#F9FAFB,Rose,#F43F5E,Style and elegance,Trendy fashion palette
77,Fleet Management,Blue,#2563EB,Orange,#F97316,Green,#22C55E,Light Gray,#F3F4F6,Dark Blue,#1E40AF,White,#FFFFFF,Red,#DC2626,Tracking and efficiency,GPS and status colors
78,Tutoring Education,Bright Blue,#3B82F6,Lime,#84CC16,Orange,#F97316,White,#FFFFFF,Navy,#1E3A8A,Light Blue,#DBEAFE,Purple,#8B5CF6,Learning and engagement,Youthful educational palette
79,Home Decor,Warm Taupe,#A8A29E,Sage,#84CC16,Terracotta,#C2410C,Cream,#FFFBEB,Charcoal,#374151,Blush,#FECDD3,Gold,#D97706,Comfort and style,Home aesthetic palette
80,NFT Collectibles,Neon Pink,#F472B6,Electric Blue,#3B82F6,Purple,#A855F7,Dark Purple,#1E1B4B,White,#FFFFFF,Dark Gray,#18181B,Cyan,#22D3EE,Uniqueness and value,Digital art vibrant palette
81,API Developer Tools,Green,#22C55E,Slate,#475569,Orange,#F97316,Dark Gray,#111827,Light Gray,#E5E7EB,Medium Gray,#6B7280,Blue,#3B82F6,Code and functionality,Developer terminal palette
82,Sustainability Green,Forest Green,#166534,Ocean Blue,#0284C7,Sunshine Yellow,#FBBF24,Natural White,#FEFCE8,Dark Green,#14532D,Light Green,#BBF7D0,Earth Brown,#92400E,Environment and renewal,Eco-friendly nature palette
83,Luxury Real Estate,Champagne,#E7D4B5,Navy,#1E3A8A,Gold,#B45309,White,#FFFFFF,Dark Navy,#0F172A,Cream,#FFFBEB,Bronze,#92400E,Prestige and exclusivity,High-end property palette
84,Language Learning,Primary Orange,#F97316,Teal,#0D9488,Yellow,#EAB308,White,#FFFFFF,Dark Orange,#C2410C,Light Teal,#CCFBF1,Green,#22C55E,Achievement and progress,Gamified learning palette
85,Charity Donation,Compassion Blue,#3B82F6,Hopeful Green,#22C55E,Heart Red,#EF4444,Warm White,#FFFBEB,Dark Blue,#1E40AF,Light Blue,#DBEAFE,Orange,#F97316,Empathy and action,Cause-driven palette
86,DevOps Platform,Terminal Green,#22C55E,Orange,#F97316,Blue,#3B82F6,Near Black,#0A0A0A,White,#FFFFFF,Dark Gray,#1F2937,Red,#EF4444,Automation and monitoring,CI/CD status colors
87,Personal Finance,Money Green,#22C55E,Navy,#1E3A8A,Gold,#D97706,White,#FFFFFF,Dark Green,#166534,Light Green,#DCFCE7,Red,#EF4444,Growth and security,Financial health palette
88,Live Events Tickets,Vibrant Purple,#8B5CF6,Electric Pink,#EC4899,Yellow,#FBBF24,Dark Purple,#1E1B4B,White,#FFFFFF,Light Purple,#E9D5FF,Coral,#F97316,Excitement and exclusivity,Entertainment event palette
89,Carpool Rideshare,Eco Green,#22C55E,Sky Blue,#38BDF8,Orange,#F97316,White,#FFFFFF,Dark Green,#166534,Light Blue,#E0F2FE,Yellow,#FBBF24,Community and savings,Sustainable transport palette
90,Sleep Wellness,Deep Indigo,#3730A3,Soft Lavender,#C4B5FD,Moonlight Blue,#93C5FD,Dark Blue,#0F172A,White,#E0E7FF,Navy,#1E3A8A,Silver,#94A3B8,Rest and relaxation,Nighttime soothing palette
91,Craft Handmade,Terracotta,#C2410C,Sage,#84CC16,Mustard,#CA8A04,Natural Cream,#FFFBEB,Brown,#78350F,Light Sage,#ECFCCB,Rust,#B45309,Artisan and authentic,Handcrafted warm palette
92,HR Management,Professional Teal,#0D9488,Slate,#64748B,Orange,#F97316,White,#FFFFFF,Dark Teal,#134E4A,Light Gray,#F1F5F9,Blue,#3B82F6,People and organization,Corporate HR palette
93,Robotics Automation,Metallic Silver,#94A3B8,Electric Blue,#3B82F6,Orange,#F97316,Dark Gray,#111827,White,#FFFFFF,Steel,#475569,Green,#22C55E,Innovation and precision,Futuristic tech palette
94,Elderly Care,Warm Blue,#60A5FA,Soft Green,#86EFAC,Peach,#FECACA,Warm White,#FFFBF0,Navy,#1E3A8A,Light Blue,#DBEAFE,Coral,#FB7185,Trust and comfort,Accessible readable palette
95,Wedding Planning,Blush,#FECDD3,Gold,#D97706,Sage,#84CC16,Ivory,#FFFFF0,Dark Rose,#9F1239,Champagne,#E7D4B5,Dusty Blue,#93C5FD,Romance and elegance,Romantic celebration palette
96,Supply Chain,Industrial Blue,#1E40AF,Safety Orange,#EA580C,Green,#22C55E,Light Gray,#F3F4F6,Dark Blue,#172554,White,#FFFFFF,Yellow,#EAB308,Efficiency and tracking,Logistics management palette
