No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Rendering,Unnecessary Re-renders,memo useMemo useCallback,React/Next.js,Components re-render when props or state change even if the output would be identical,Use React.memo for functional components that receive the same props frequently,Wrap every component in React.memo without profiling first,"const MemoizedCard = React.memo(function Card({ title, data }) { return <div>{title}</div>; });","function Card({ title, data }) { return <div>{title}</div>; }",High
25,Forms,Uncontrolled to Controlled,input value onChange,React/Next.js,Switching between controlled and uncontrolled inputs causes warnings and bugs,Choose controlled or uncontrolled and be consistent,Always provide value and onChange together for controlled inputs,Start with defaultValue then add value prop later,Medium
26,Forms,Re-rendering on Every Keystroke,form state performance,React/Next.js,Updating parent state on every keystroke causes excessive re-renders,Use uncontrolled inputs with refs or form libraries like React Hook Form,"const { register } = useForm(); <input {...register('name')} />","const [name, setName] = useState(''); <input value={name} onChange={e => setName(e.target.value)} />",Medium
27,Forms,Missing Form Validation,validation UX accessibility,React/Next.js,Client-side validation improves UX and reduces unnecessary server requests,Implement validation with clear error messages and aria attributes,Use schema validation with Zod or Yup and display errors inline,Only validate on server after form submission,Medium
28,Server Components,Client Components Overuse,use client directive,Next.js,Using use client unnecessarily prevents server-side rendering benefits,Only add use client when component needs browser APIs or state,Keep data fetching and static content in Server Components,Add use client to every component by default,High
29,Server Components,Prop Serialization,Server Client boundary,Next.js,Passing non-serializable props across server/client boundary causes errors,Only pass serializable data (strings numbers objects arrays) to Client Components,Pass primitive props and fetch data in Server Components,Pass functions or class instances to Client Components,Critical
30,Server Components,Missing Loading States,Suspense streaming,Next.js,Not using Suspense with async Server Components shows nothing during load,Wrap async components in Suspense with meaningful fallbacks,"<Suspense fallback={<Skeleton />}><AsyncComponent /></Suspense>","<AsyncComponent />",High
31,Hydration,Hydration Mismatch,SSR client mismatch,Next.js,Server and client rendering different content causes hydration errors,Ensure consistent rendering between server and client,Use useEffect for client-only code or suppressHydrationWarning,Use Date.now() or Math.random() in initial render,Critical
32,Hydration,Window Access During SSR,typeof window undefined,Next.js,Accessing browser APIs during SSR causes errors,Check for window existence or use useEffect for browser APIs,"const isClient = typeof window !== 'undefined';","const width = window.innerWidth;",Critical
33,Hydration,Third-party Script Issues,Script next/script,Next.js,Loading third-party scripts incorrectly blocks hydration,Use next/script with appropriate loading strategy,"<Script src=""analytics.js"" strategy=""lazyOnload"" />","<script src=""analytics.js""></script>",Medium
34,Routing,Unnecessary Full Page Loads,Link prefetch navigation,Next.js,Using anchor tags instead of Link causes full page reloads,Use next/link for internal navigation to enable client-side routing,"<Link href=""/about"">About</Link>","<a href=""/about"">About</a>",High
35,Routing,Missing Prefetching,Link prefetch hover,Next.js,Not prefetching likely navigation targets slows perceived performance,Use Link with prefetch for important navigation paths,"<Link href=""/dashboard"" prefetch>Dashboard</Link>",Disable prefetch on all links without consideration,Medium
36,Routing,Route Handler Caching,GET cache revalidate,Next.js,Not caching route handlers causes unnecessary data fetching,Use appropriate cache and revalidation settings,"export const revalidate = 3600; // revalidate hourly",Fetch fresh data on every request without caching,Medium
37,Animations,Layout Thrashing,transform opacity GPU,React/Next.js,Animating layout properties like width and height causes expensive reflows,Animate transform and opacity for smooth 60fps animations,"transform: translateX(100px); opacity: 0;","left: 100px; width: 200px;",High
38,Animations,Missing will-change,animation optimization,React/Next.js,Browsers can optimize animations when given hints about what will change,Add will-change for complex animations but remove after,"will-change: transform; // remove after animation",Never use will-change or use it on too many elements,Low
39,Animations,Excessive Motion,prefers-reduced-motion,React/Next.js,Some users are sensitive to motion and animations,Respect prefers-reduced-motion media query,"@media (prefers-reduced-motion: reduce) { animation: none; }",Use animations everywhere without motion preference check,Medium
40,Memory,Event Listener Leaks,addEventListener cleanup,React/Next.js,Adding event listeners without removing them causes memory leaks,Remove event listeners in useEffect cleanup,"useEffect(() => { window.addEventListener('resize', fn); return () => window.removeEventListener('resize', fn); }, []);","useEffect(() => { window.addEventListener('resize', fn); }, []);",High
41,Memory,Large State Objects,state normalization,React/Next.js,Storing large nested objects in state makes updates expensive,Normalize state and use IDs to reference related data,Store entities by ID in flat objects with arrays of IDs,Deeply nest all related data in single state object,Medium
42,Memory,Closure Memory Leaks,useCallback closure,React/Next.js,Closures capturing large objects prevent garbage collection,Be mindful of what closures capture and clean up references,Use refs for values that should not be captured in closures,Capture large arrays or objects in long-lived callbacks,Medium
43,TypeScript,Missing Type Definitions,any type inference,React/Next.js,Using any type defeats TypeScript benefits and hides bugs,Define proper types for props state and function parameters,"interface Props { items: Item[]; onSelect: (item: Item) => void; }","function Component(props: any) { }",High
44,TypeScript,Overly Permissive Types,union types generics,React/Next.js,Types that are too broad do not catch errors at compile time,Use specific union types and generics for type safety,"type Status = 'loading' | 'success' | 'error';","type Status = string;",Medium
