STT,Style Category,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
11,Editorial Typography,magazine editorial longform reading content-focused typographic refined,large serif headings; optimal reading width (65-75ch); generous line-height; pull quotes,Use large expressive serif headings; Set optimal reading width (65-75ch); Apply generous line-height (1.6-1.8); Include pull quotes and drop caps; Create clear typographic hierarchy,--edit-heading: serif; --edit-body-width: 70ch; --edit-line-height: 1.7; --edit-spacing: clamp(1rem 3vw 2rem)
12,High Contrast Accessible,accessible wcag readable clear legible inclusive universal design,contrast ratio 7:1+; focus indicators; large touch targets 44px+; clear labels,Ensure 7:1+ contrast ratios; Add visible focus indicators; Size touch targets 44px+; Use clear descriptive labels; Support screen readers fully,--a11y-contrast: 7:1; --a11y-focus: 3px solid; --a11y-target: 44px; --a11y-font-min: 16px
13,Gradient Mesh Modern,vibrant gradients colorful mesh blended fluid organic flowing,background: linear-gradient or radial-gradient; mesh gradients; gradient text; overlay blending,Use multi-stop gradients; Apply mesh gradient backgrounds; Consider gradient text for headings; Layer with blend modes; Ensure text readability over gradients,--grad-primary: linear-gradient(135deg var(--c1) var(--c2)); --grad-mesh: radial-gradient layers; --grad-blend: soft-light
14,Retro Vintage,nostalgic classic throwback vintage retro old-school warm analog,warm muted colors; vintage textures; retro typography; aged effects; sepia tones,Use warm muted color palettes; Apply subtle vintage textures; Choose retro-inspired typography; Add film grain or aged effects; Reference specific era aesthetics,--retro-warm: #f5e6d3; --retro-accent: #c4704f; --retro-texture: grain-overlay; --retro-font: vintage-serif
15,Cyberpunk Neon,futuristic neon glow tech dystopian cyber electric bold dark,neon colors on dark; glow effects; glitch aesthetics; tech fonts; scan lines,Use neon colors on dark backgrounds; Apply CSS glow effects (box-shadow text-shadow); Add glitch or scan line effects; Choose tech/mono fonts; Create high contrast,--cyber-glow: 0 0 20px var(--neon); --cyber-bg: #0a0a0a; --cyber-neon: #ff00ff; --cyber-font: monospace
16,Organic Natural,earthy natural organic sustainable eco-friendly botanical warm,earth tone palette; organic shapes; natural textures; botanical illustrations,Use earth tone color palette; Create organic flowing shapes; Apply natural textures (wood paper); Include botanical elements; Evoke sustainability and nature,--org-earth: #78716c; --org-green: #166534; --org-texture: paper; --org-shapes: blob-radius
17,Luxury Premium,exclusive high-end sophisticated elegant premium refined opulent,black gold palette; generous spacing; elegant serif; high-quality imagery; subtle animations,Use black and gold color scheme; Apply generous whitespace; Choose elegant serif typography; Use high-quality aspirational imagery; Add subtle refined animations,--lux-gold: #b45309; --lux-black: #0a0a0a; --lux-spacing: 3rem; --lux-font: elegant-serif
18,Scandinavian Minimal,nordic hygge cozy minimal warm functional simple clean,soft neutrals; natural light; functional design; warm accents; clean lines,Use soft neutral color palette; Emphasize natural lighting; Focus on functional design; Add warm accent colors; Maintain clean simple lines,--scandi-neutral: #f5f5f4; --scandi-warm: #d4a574; --scandi-spacing: 2rem; --scandi-radius: 2px
19,Art Deco Geometric,gatsby roaring twenties geometric ornate symmetrical bold decorative,geometric patterns; gold accents; symmetrical layouts; decorative borders; bold typography,Use geometric patterns and shapes; Apply gold metallic accents; Create symmetrical layouts; Add decorative art deco borders; Use bold display typography,--deco-gold: #d4af37; --deco-pattern: geometric-repeat; --deco-border: decorative; --deco-font: display-serif
20,Swiss International,grid systematic structured clean rational organized helvetica,strict grid system; clear hierarchy; sans-serif typography; asymmetric balance; minimal color,Implement strict grid system; Create clear visual hierarchy; Use Helvetica or similar sans-serif; Apply asymmetric balance; Limit color usage,--swiss-grid: 12-column; --swiss-font: Helvetica Arial sans-serif; --swiss-spacing: baseline-grid; --swiss-color: limited
21,Memphis Design,postmodern bold geometric playful colorful chaotic patterns squiggles,bold primary colors; geometric shapes; patterns; asymmetry; playful elements,Use bold primary colors; Include geometric shapes (circles triangles); Add playful patterns and squiggles; Embrace asymmetry; Mix different visual elements,--memphis-primary: #ff0000; --memphis-secondary: #0000ff; --memphis-pattern: geometric-repeat; --memphis-shapes: mixed
22,Bauhaus Functional,form follows function geometric primary colors minimal systematic,primary colors (red blue yellow); geometric shapes; functional design; grid-based,Use primary colors (red blue yellow black); Apply geometric shapes; Focus on functional form; Implement grid-based layouts; Remove decorative elements,--bauhaus-red: #be1e2d; --bauhaus-blue: #21409a; --bauhaus-yellow: #f9a51a; --bauhaus-grid: strict
23,Japandi Fusion,japanese scandinavian minimal zen wabi-sabi natural calm serene,neutral palette; natural materials; minimal ornament; balanced asymmetry; zen simplicity,Blend Japanese and Scandinavian aesthetics; Use neutral earthy palette; Emphasize natural materials; Apply balanced asymmetry; Create zen-like simplicity,--japandi-neutral: #e8e4df; --japandi-accent: #2d3436; --japandi-spacing: generous; --japandi-texture: natural
