No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
14,Forms,Losing form data,All,Users lose trust and patience when their entered data disappears unexpectedly,Auto-save drafts warn before navigation confirm before clear,Clear form data on navigation without warning,"useAutosave(formData); // save on change","// no save user refreshes loses all",Critical
15,Forms,Complex single-step forms,All,Long forms overwhelm users and increase abandonment,Break long forms into logical steps with progress indication,Show 20 fields on single scrolling page,"<FormWizard steps={['Personal', 'Address', 'Payment']} />","<Form>{twentyFields}</Form>",High
16,Forms,No keyboard support,Web,Power users expect tab navigation and keyboard shortcuts for efficiency,Ensure proper tab order and allow form submission with Enter key,Force mouse use for every interaction,"<form onKeyDown={handleEnter}> with tabIndex","// click only no keyboard",High
17,Accessibility,Missing alt text,All,Screen reader users cannot understand images without alternative text descriptions,Provide descriptive alt text for all meaningful images,Leave alt empty or use generic image,<img alt="Product chart showing 30% growth in Q4" />,"<img alt=""image"" /> or <img />",Critical
18,Accessibility,Low color contrast,All,Users with visual impairments cannot read text with insufficient contrast,Maintain minimum 4.5:1 contrast ratio for normal text 3:1 for large text,Use light gray text on white backgrounds,"color: #374151; // on white bg","color: #9CA3AF; // too light",Critical
19,Accessibility,Focus not visible,Web,Keyboard users cannot navigate when focus indicators are removed,Provide clear visible focus states for all interactive elements,Remove focus outlines for aesthetics,"button:focus { outline: 2px solid blue; }","button:focus { outline: none; }",Critical
20,Accessibility,No skip links,Web,Screen reader users must listen to entire navigation on every page,Provide skip to main content link at top of page,Force users through all navigation content,"<a href=""#main"" className=""sr-only focus:not-sr-only"">Skip to content</a>","// no skip link",High
21,Accessibility,Mouse-only interactions,Web,Users who cannot use mouse are excluded from hover-only features,Ensure all hover features have keyboard and touch alternatives,Rely on hover for essential functionality,Show tooltip on focus and hover,Show info only on hover,Critical
22,Accessibility,Missing form labels,All,Screen readers cannot identify unlabeled form fields,Associate every input with a label using for attribute or wrapping,Use placeholder as only field identification,"<label htmlFor=""email"">Email</label><input id=""email"" />","<input placeholder=""Email"" /> // no label",Critical
23,Performance,Slow initial load,Web,Users abandon pages that take over 3 seconds to become interactive,Optimize for under 1.5s LCP prioritize above-fold content,Load everything before showing anything useful,"<Suspense fallback={<Skeleton />}><HeavyComponent /></Suspense>","// blocking load for everything",Critical
24,Performance,Layout shift during load,Web,Content jumping around frustrates users and causes mis-clicks,Reserve space for dynamic content specify image dimensions,Allow content to shift as images and ads load,"<Image width={400} height={300} /> // dimensions set","<img src={url} /> // no dimensions",High
25,Performance,Blocking interactions,All,Users cannot interact while heavy operations block the main thread,Use web workers for heavy computation keep main thread free,Run expensive calculations on main thread,"const worker = new Worker(); worker.postMessage(data);","const result = heavyCalculation(data); // blocking",High
26,Performance,No offline support,Mobile Web,Users lose access to content and work when connectivity drops,Cache critical content and enable offline functionality,Fail completely without network,"serviceWorker.register(); // with offline cache","// requires network for everything",Medium
27,Performance,Unnecessary data fetching,All,Fetching data users do not need wastes bandwidth and time,Fetch only required data implement pagination,Fetch entire dataset when showing subset,"fetch('/api/users?page=1&limit=20')","fetch('/api/users') // all 10000",High
28,Onboarding,No first-time guidance,All,New users feel lost without introduction to key features,Provide contextual onboarding tooltips or guided tour for new users,Drop users into complex interface without help,"<OnboardingTour steps={introSteps} showOnFirstVisit />","// no onboarding guidance",High
29,Onboarding,Overwhelming information,All,Too much information at once causes cognitive overload and abandonment,Introduce features progressively as users need them,Show all features and options immediately,"// reveal features as user progresses","// show everything day one",Medium
30,Onboarding,No empty states,All,Blank screens without guidance leave users confused about next steps,Show helpful empty states with clear calls to action,Display blank areas where content should be,"<EmptyState icon={<Plus />} title=""No projects yet"" action=""Create project"" />","<div>{projects.length ? ... : null}</div>",High
31,Onboarding,Blocking signup walls,Web Mobile,Forcing signup before value demonstration causes immediate abandonment,Allow users to experience core value before requiring signup,Require account creation to see any content,Allow browsing with signup prompt for saving,Login required to view any page,High
32,Onboarding,No progress saving,All,Users lose progress on long flows when returning later,Save progress and allow users to resume where they left off,Require completion in single session,"useAutosaveProgress(onboardingStep);","// must complete all steps at once",Medium
33,Search,No search suggestions,Web Mobile,Users spend more time typing and make more errors without suggestions,Show real-time suggestions as user types,Require full query before showing results,"<SearchInput suggestions={results} onType={search} />","<SearchInput onSubmit={search} />",Medium
34,Search,Poor no results experience,All,Dead-end no results pages cause users to give up,Suggest alternatives check spelling or show related content,Show empty results with no guidance,"<NoResults suggestions={similar} spellCheck={didYouMean} />","<div>No results found.</div>",High
35,Search,No search history,Web Mobile,Users repeat common searches unnecessarily without history,Show recent searches and allow quick re-search,Clear history on every search,"<RecentSearches items={history} onSelect={search} />","// no history",Low
36,Search,Unclear search scope,All,Users do not know what content their search will cover,Indicate search scope and allow filtering,Search unclear areas without indication,"<SearchInput placeholder=""Search products in Electronics"" />","<SearchInput placeholder=""Search"" />",Medium
37,Search,Slow search results,All,Users expect near-instant search results under 200ms,Implement search indexing and optimize queries,Search unindexed database on every keystroke,Use search service like Algolia Elasticsearch,Raw SQL LIKE query on full table,High
38,Mobile,Touch targets too small,Mobile,Small targets cause frustration and mis-taps especially on the go,Make touch targets at least 44x44px with adequate spacing,Use desktop-sized 20px buttons on mobile,"<Button className=""h-11 w-11"">","<Button className=""h-5 w-5"">",Critical
39,Mobile,No pull to refresh,Mobile,Users expect pull to refresh for content feeds on mobile,Implement pull to refresh for refreshable content lists,Force users to find refresh button,"<PullToRefresh onRefresh={reload}>","<Button onClick={reload}>Refresh</Button>",Medium
40,Mobile,Desktop patterns on mobile,Mobile,Desktop hover states and layouts do not translate to touch,Design for touch first with appropriate mobile patterns,Shrink desktop layout for mobile,"<SwipeableRow actions={rowActions}>","<Row onHover={showActions}>",High
41,Mobile,Keyboard covering inputs,Mobile,Inputs hidden behind keyboard prevent users from seeing what they type,Scroll inputs into view when keyboard appears,Allow keyboard to cover active input,"useKeyboardAvoidingView(); // scroll input visible","// input hidden behind keyboard",High
42,Mobile,No haptic feedback,Mobile,Touch interfaces without haptic feedback feel unresponsive,Add subtle haptic feedback for important interactions,No physical feedback on touch,"Haptics.impactAsync(Haptics.ImpactFeedbackStyle.Light);","// no haptic feedback",Low
43,Content,Wall of text,All,Large blocks of text overwhelm users and reduce comprehension,Break content into scannable chunks with headings and bullets,Present long paragraphs without formatting,"<Section><Heading /><BulletList /><Paragraph /></Section>","<div>{longParagraph}</div>",Medium
44,Content,Unclear calls to action,All,Users do not know what to do when CTAs are vague or hidden,Use clear action-oriented button labels make CTAs prominent,Use generic Submit or Click here labels,"<Button>Create free account</Button>","<Button>Submit</Button>",High
45,Content,No content hierarchy,All,Users cannot quickly scan and find relevant information,Use clear visual hierarchy with headings subheadings body,All text same size and weight,"<h1>Title</h1><h2>Section</h2><p>Body</p>","<div>{allContentSameStyle}</div>",High
46,Content,Outdated information,All,Stale content erodes trust and causes user confusion,Show last updated dates keep content current,Display outdated information without indication,"<LastUpdated date={content.updatedAt} />","// no date could be years old",Medium
47,Content,Jargon without explanation,All,Technical terms alienate users unfamiliar with domain,Explain or link technical terms provide glossary,Use unexplained acronyms and jargon,"<Tooltip content=""Return on Investment"">ROI</Tooltip>","ROI increased 25% // unexplained",Medium
48,Trust,No social proof,Web,Users hesitate to commit without evidence others have succeeded,Show reviews testimonials or user counts,Expect users to trust without evidence,"<Testimonials /><TrustBadges />","// no social proof",Medium
49,Trust,Hidden pricing,Web,Users distrust sites that hide pricing until late in funnel,Show pricing clearly and early in user journey,Require signup or sales call to see pricing,"<PricingTable plans={plans} /> // visible to all","Contact sales for pricing",High
50,Trust,No contact options,Web,Users lose trust when they cannot reach support if needed,Provide clear contact options and response time expectations,Hide support or make it difficult to find,"<ContactOptions email chat phone />","// no visible support options",Medium
51,Trust,Suspicious security,Web,Users hesitate to enter sensitive data without security indicators,Show security badges SSL indicators privacy assurances,No security indication on sensitive forms,"<SecurityBadge /><EncryptedBadge />","// no security indicators on payment",High
52,Trust,No privacy clarity,Web,Users worry about data use without clear privacy information,Explain data use clearly link to privacy policy,Collect data without explaining use,"<PrivacyNote>We only use this to...</PrivacyNote>","// collect data no explanation",High
53,Errors,No error prevention,All,Preventable errors frustrate users and waste time,Validate inputs disable invalid actions confirm destructive operations,Allow users to make easily preventable mistakes,"<Button disabled={!isValid}>Submit</Button>","<Button>Submit</Button> // always enabled",High
54,Errors,No error recovery,All,Users stuck on errors without recovery options abandon tasks,Provide clear recovery paths retry options or alternatives,Show error without way to recover,"<Error message={err} actions={[retry, contact]} />","<Error>Something went wrong</Error>",Critical
55,Errors,Losing user work,All,Lost work due to errors destroys user trust and causes abandonment,Auto-save drafts preserve state on errors allow recovery,Clear form or lose data on error,"const draft = useAutosave(formData);","// error clears all user input",Critical
56,Errors,Technical error messages,All,Technical errors confuse non-technical users and prevent resolution,Translate technical errors to user-friendly explanations,Show stack traces or error codes to users,"<Error>Unable to save. Please try again or contact support.</Error>","<Error>TypeError: Cannot read property 'map' of undefined</Error>",High
57,Errors,No offline error handling,Mobile,Network errors without explanation cause user confusion,Explain connection issues and provide offline options,Fail silently or show generic error,"<OfflineNotice>You're offline. Changes will sync when connected.</OfflineNotice>","<Error>Request failed</Error>",High
58,Consistency,Inconsistent terminology,All,Different terms for same concept confuse users,Use consistent terminology throughout the application,Use delete remove trash interchangeably,Always use Delete for removal actions,Mix Remove Delete Trash Discard,Medium
59,Consistency,Inconsistent button styles,All,Visual inconsistency makes hierarchy and patterns unclear,Use consistent button hierarchy primary secondary tertiary,Mix styles randomly throughout app,Define and follow button style system,Random button colors sizes throughout,High
60,Consistency,Inconsistent patterns,All,Users must relearn interactions when patterns change,Keep interaction patterns consistent across features,Different patterns for similar features,Same edit flow in all sections,Different edit patterns per section,High
61,Consistency,Platform convention violations,All,Users expect platform conventions and violations cause friction,Follow platform conventions for navigation gestures patterns,Ignore platform standards,iOS back gesture Android back button work correctly,Custom gestures that conflict with platform,High
62,Consistency,Inconsistent feedback,All,Inconsistent feedback patterns create uncertainty,Use same feedback patterns throughout app,Different loading error success patterns,Same toast style and position everywhere,Different notification patterns per feature,Medium
63,Personalization,No preferences,All,One-size-fits-all interfaces frustrate users with different needs,Allow customization of key preferences,Force same experience on all users,"<SettingsPanel preferences={userPrefs} />","// no user preferences",Medium
64,Personalization,Not remembering choices,All,Requiring repeated choices wastes user time,Remember user choices and preferences across sessions,Ask same questions every session,"localStorage.setItem('preference', choice);","// forget preference on reload",Medium
65,Personalization,No relevant defaults,All,Poor defaults force users to configure on every use,Set smart defaults based on user context,Start with empty or irrelevant defaults,"<DatePicker defaultValue={today} />","<DatePicker /> // no default",Low
66,Personalization,One-size-fits-all,All,Different user segments have different needs,Adapt experience based on user type or behavior,Show same experience to beginner and expert,"const onboarding = isNewUser ? <Tutorial /> : null;","// same for all users",Medium
67,Personalization,No data portability,Web,Users feel trapped without ability to export their data,Allow users to export their data in standard formats,Lock users into platform with no export,"<Button onClick={exportData}>Download my data</Button>","// no export option",Medium
68,Efficiency,Repetitive tasks not automated,All,Manual repetition of common tasks wastes user time,Automate common patterns provide bulk actions,Require repetitive manual work,"<BulkActions onSelectAll={handleAll} />","// must do one at a time",Medium
69,Efficiency,No keyboard shortcuts,Web,Power users cannot work efficiently without shortcuts,Provide keyboard shortcuts for common actions,Mouse required for all actions,Cmd+K for search Cmd+S for save,// no keyboard shortcuts,Medium
70,Efficiency,Too many steps,All,Excessive steps for simple tasks frustrate users,Minimize steps required for common actions,Require unnecessary confirmations and clicks,One-click purchase option,5 steps to buy single item,High
71,Efficiency,No defaults or templates,All,Starting from scratch every time wastes user time,Provide useful defaults and templates,Always start with blank state,"<TemplateSelector templates={common} />","// always blank start",Medium
72,Efficiency,No undo option,All,Inability to undo causes fear of making mistakes,Provide undo for destructive or significant actions,Immediate permanent destructive actions,"<Toast action={<Button onClick={undo}>Undo</Button>}>Item deleted</Toast>","// immediate permanent delete",High
73,Cognitive Load,Too many options,All,Excessive options cause decision paralysis,Limit choices provide defaults hide advanced options,Show all possible options at once,"<Options primary={top3} showMore={rest} />","// show all 50 options",Medium
74,Cognitive Load,Complex terminology,All,Unnecessary complexity increases cognitive load,Use simple clear language explain necessary complexity,Use jargon when plain language would work,Use Send instead of Transmit,Use technical terms unnecessarily,Medium
75,Cognitive Load,Information overload,All,Too much information prevents comprehension,Show essential information progressive disclosure for details,Show all data fields at once,"<Summary /><DetailsExpandable />","// all 30 fields visible at once",High
76,Cognitive Load,Unclear relationships,All,Users cannot understand how elements relate without visual cues,Use visual hierarchy grouping and spacing to show relationships,Flat design with no visual hierarchy,Group related items with spacing borders,Random placement of related items,Medium
77,Cognitive Load,No visual scanning support,All,Users cannot quickly find information without visual aids,Use headings icons colors to support scanning,Dense text without visual breaks,Clear sections with icons and headers,Wall of uniformly styled text,Medium
78,Data Entry,No auto-complete,Web Mobile,Manual typing of known values wastes time and causes errors,Auto-complete for known values like addresses,Require full manual entry,"<AddressAutoComplete api={googleMaps} />","<Input placeholder=""Enter full address"" />",Medium
79,Data Entry,No format guidance,All,Users guess at required formats causing validation errors,Show expected format with examples,Reject input without format explanation,"<Input placeholder=""MM/DD/YYYY"" helperText=""e.g. 01/15/2024"" />","<Input type=""date"" /> // no format hint",Medium
80,Data Entry,Unnecessary required fields,All,Forcing unnecessary data collection creates friction,Only require fields truly necessary,Require optional data as mandatory,Mark truly required fields only,Require phone for email newsletter,Medium
81,Data Entry,No smart defaults,All,Empty fields require more user effort to complete,Pre-fill with intelligent defaults,Start with empty fields,Pre-fill country from IP timezone from browser,// all fields empty,Low
82,Data Entry,Copy paste disabled,Web Mobile,Disabling paste forces manual entry and frustrates users,Allow paste for all text fields,Disable paste on password or verification fields,"<Input onPaste={allow} />","<Input onPaste={e => e.preventDefault()} />",High
83,Notification,Too many notifications,All,Notification overload causes users to ignore all notifications,Limit notifications to important actionable items,Notify for every minor event,"<NotificationPreferences categories={important} />","// notify for everything",High
84,Notification,Unclear notification purpose,All,Confusing notifications waste user attention,Clear notification title and actionable content,Vague notification requiring investigation,"<Notification title=""Order shipped"" body=""Arrives Thursday"" action=""Track"" />","<Notification>Update available</Notification>",Medium
85,Notification,No notification control,All,Inability to control notifications frustrates users,Let users control notification preferences,All or nothing notification settings,"<NotificationSettings granular={categories} />","// cannot customize notifications",High
86,Notification,Disruptive timing,Mobile,Interrupting users at wrong times creates negative experience,Send notifications at appropriate times respect quiet hours,Notify at 3am about non-urgent matters,"<QuietHours enabled /> schedule appropriately","// send whenever",Medium
87,Notification,No clear dismissal,All,Persistent notifications without clear dismissal annoy users,Provide clear way to dismiss or act on notifications,Sticky notifications without close,"<Notification onDismiss={dismiss} onAction={act} />","<Notification /> // no dismiss",Medium
88,Help,No contextual help,All,Users cannot find help relevant to their current context,Provide help relevant to current screen or feature,Generic FAQ for all questions,"<ContextualHelp feature=""export"" />","<Link to=""/faq"">Help</Link>",Medium
89,Help,No search in help,Web,Users cannot find answers when help is not searchable,Make help content searchable,Browsing only help documentation,"<HelpSearch onSearch={searchDocs} />","// browse only",Medium
90,Help,Outdated documentation,All,Outdated help causes more confusion than no help,Keep documentation current with product,Help describes old features,Update docs with each release,// docs last updated 2 years ago,Medium
91,Help,No self-service options,Web,Forcing support contact for simple issues wastes everyone time,Enable self-service for common issues,Support ticket for password reset,"<SelfService actions={[resetPassword, updateEmail]} />","// contact support for everything",Medium
92,Help,Hidden help access,All,Users cannot get help when they cannot find it,Make help easily accessible from any screen,Help buried in settings,"<HelpButton floating /> // always visible","// help in settings > about > support",Medium
93,Social,No social features where expected,Web Mobile,Missing expected social features reduce engagement,Add social features appropriate to context,No community features in social product,"<ShareButton /><Comments /><Likes />","// social app with no social features",Medium
94,Social,Forced social sharing,All,Requiring social actions for basic functionality frustrates users,Make social features optional,Force share to unlock features,Social sharing optional rewards bonus,Must share to continue,High
95,Social,No privacy controls,All,Lack of privacy controls prevents users from sharing,Let users control visibility and sharing,Public by default no privacy options,"<PrivacySelector options={['public', 'friends', 'private']} />","// everything public",High
96,Social,No blocking or reporting,Web Mobile,Users need protection from harassment and abuse,Enable blocking and reporting bad actors,No way to stop harassment,"<BlockUser /> <ReportContent />","// no blocking",Critical
97,Social,No content moderation,Web Mobile,Unmoderated content can harm users and brand,Implement content moderation and community guidelines,Allow any content without review,Automated and human moderation,// no moderation,Critical
98,Internationalization,No locale support,Web Mobile,Single locale excludes international users,Support multiple locales currencies timezones,English USD only,"<I18nProvider locale={userLocale}>","// hardcoded en-US",Medium
99,Internationalization,Poor translations,Web Mobile,Bad translations confuse users and appear unprofessional,Use professional translations test with native speakers,Machine translate without review,"<Trans key=""welcome"" /> // professional","// Google translated strings",Medium
