No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
47,Dropdowns,Searchable dropdowns for long lists,Dashboard Corporate,Clear search input results,Searchable filterable,Smooth filter results,Add search when 10 plus items,No search for long lists slow filter,High
48,Dropdowns,Multi-select with chips,Material Dashboard,Clear selected chips,Chips and options clear,Smooth chip add remove,Show selected as chips allow chip removal,No clear selected unclear multi-select,High
49,Dropdowns,Cascading dropdowns for hierarchy,E-commerce Dashboard,Clear relationship,Clear levels,Smooth cascade reveal,Use for category subcategory relationships,Too deep cascade unclear relationship,Medium
50,Dropdowns,Action dropdowns for menus,All styles,Clear action labels,Action labels clear,Smooth reveal,Use for grouping related actions,Critical actions hidden in dropdown,High
51,Alerts,Toast notifications for feedback,All styles,Semantic colors success error,Clear message,Slide in auto dismiss,Use for confirmations non-blocking feedback,Too long blocking critical info in toast,High
52,Alerts,Banner alerts for page-level status,Corporate Dashboard,Semantic background,Clear message action,Smooth reveal,Use for important page-level info,Overuse too many banners,Medium
53,Alerts,Inline alerts for contextual feedback,All styles,Semantic contextual colors,Clear specific message,Subtle reveal,Place near relevant content,Far from context unclear message,High
54,Alerts,Persistent alerts for critical info,Healthcare Finance,High contrast warning,Clear actions,Attention animation,Cannot dismiss until action taken or acknowledged,Easy dismiss for critical info,Critical
55,Alerts,Progress alerts for long operations,Dashboard Startup,Progress indication,Progress percentage steps,Progress animation,Show progress for 3 plus second operations,No progress for long operations,High
56,Images,Lazy loading for below fold images,Performance all styles,Loading placeholder,Alt text,Fade in on load,Lazy load below fold images,Loading all images upfront,High
57,Images,Responsive images with srcset,Performance all styles,Multiple resolutions,Clear image content,Smooth load,Provide multiple sizes for different screens,Single large image for all,High
58,Images,Image placeholders while loading,All styles,Blurred placeholder skeleton,Alt text for screen readers,Smooth transition to loaded,Show placeholder immediately,No placeholder layout shift,High
59,Images,Gallery with lightbox,Portfolio Media,Thumbnails with expand,Clear navigation,Smooth zoom transitions,Use for image collections allow full view,Small images only no zoom,Medium
60,Images,Avatar images with fallback,Social Corporate,Initials fallback,Clear identification,Smooth load,Provide fallback for missing avatar,Broken image no fallback,Medium
61,Empty States,Empty state with illustration,Friendly Startup,Helpful friendly colors,Encouraging helpful text,Subtle animation,Show helpful message and action when empty,Blank screen no guidance,High
62,Empty States,Search no results state,All styles,Neutral helpful,Suggestions text,Subtle reveal,Suggest alternatives check spelling,No results no suggestions,Medium
63,Empty States,Error state with recovery,All styles,Error but not alarming,Clear error action,Attention animation,Show what went wrong and how to fix,Generic error no recovery option,Critical
64,Empty States,First-time user empty state,Onboarding Startup,Welcoming encouraging,Tutorial action text,Onboarding animation,Guide user to first action,Empty with no guidance,High
65,Empty States,Loading skeleton state,All styles,Subtle animated,No text skeleton shapes,Pulse shimmer animation,Show content structure while loading,Spinner only no structure,High
66,Progress,Linear progress for determinate,Material Dashboard,Brand or semantic,Percentage optional,Smooth progress animation,Use when progress measurable,Indeterminate for known progress,Medium
67,Progress,Circular progress for indeterminate,Material Minimalist,Brand or semantic,Optional label,Smooth spin,Use for unknown duration loading,No feedback for loading,High
68,Progress,Step progress for multi-step,Forms Dashboard,Clear completed current,Step labels,Step transition animation,Show completed current remaining steps,Unclear current step no progress visibility,High
69,Progress,Skeleton loading for content,All styles,Subtle placeholder,Matches content structure,Pulse shimmer,Match expected content structure,Generic rectangle random shapes,High
70,Progress,Percentage labels for clarity,Dashboard Corporate,Clear readable,Clear percentage,Count animation,Show percentage for long processes,No indication of progress,Medium
71,Typography,Clear hierarchy with size weight,All styles,High contrast readable,Clear hierarchy sizes,None for text,Use size weight to show hierarchy limit levels,Too many sizes unclear hierarchy,High
72,Typography,Readable line lengths,All styles,High contrast,Appropriate line height,None,Keep lines 50-75 characters,Too long too short lines,Medium
73,Typography,Appropriate line height,All styles,Clear readable,1.4-1.6 for body text,None,Increase line height for longer paragraphs,Too tight too loose line height,Medium
74,Typography,Responsive font sizing,All styles,Readable all sizes,Fluid or breakpoint sizes,None,Adjust sizes for different viewports,Same size all viewports,Medium
75,Typography,Font loading optimization,Performance all styles,Prevent flash,Swap or optional font display,None,Use font-display swap preload critical fonts,Flash of invisible text layout shift,High
76,Spacing,Consistent spacing scale,All styles,Clean organized,Clear breathing room,None,Use 4px or 8px scale consistently,Random spacing values,High
77,Spacing,Appropriate whitespace,All styles,Clean not cramped,Clear content separation,None,More space for less related content,Too cramped too sparse,Medium
78,Spacing,Touch targets minimum size,Mobile Material,Clear interactive,Readable labels,None,Minimum 44x44px touch targets,Too small touch targets,Critical
79,Spacing,Responsive spacing,All styles,Appropriate density,Clear hierarchy,None,Reduce spacing on mobile increase on desktop,Same spacing all viewports,Medium
80,Spacing,Content grouping with space,All styles,Clear relationships,Clear groupings,None,Use space to show related content,Uniform spacing no grouping,Medium
81,Color,Sufficient contrast ratios,Accessibility all styles,WCAG compliant,4.5:1 normal 3:1 large,None,Check contrast for all text background combinations,Low contrast text,Critical
82,Color,Semantic color usage,All styles,Meaningful colors,Clear meaning,None,Use red for errors green for success consistently,Random color meaning inconsistent,High
83,Color,Color not sole indicator,Accessibility all styles,Plus icons text,Clear for colorblind,None,Add icons text patterns with color,Color only indication,Critical
84,Color,Consistent color palette,All styles,Cohesive limited,Clear purpose,None,Limit palette use consistently,Too many colors inconsistent,High
85,Color,Dark mode considerations,Dark Mode all styles,Reduced brightness,High contrast still,None,Reduce saturation increase contrast in dark mode,Same colors dark mode inverted only,High
86,Animation,Purpose-driven animation,All styles,Appropriate energy,Clear feedback,Meaningful motion,Animate to show relationships feedback,Gratuitous animation,Medium
87,Animation,Respect reduced motion,Accessibility all styles,Reduced or none,Static alternative,None or reduced,Check prefers-reduced-motion,No reduced motion support,High
88,Animation,Performance-optimized animation,Performance all styles,Smooth 60fps,Clear visibility,Transform opacity only,Animate transform opacity avoid layout,Janky animations layout animation,High
89,Animation,Appropriate duration,All styles,Quick feedback,Clear transitions,100-300ms typical,Match duration to distance importance,Too slow too fast,Medium
90,Animation,Loading and transition states,All styles,Smooth professional,Clear state change,Smooth transitions,Animate between states smoothly,Jarring instant changes,Medium
91,Accessibility,Keyboard navigation,Accessibility all styles,Clear focus visible,Clear focus indicators,Focus animation,All interactive elements keyboard accessible,Mouse only no keyboard,Critical
92,Accessibility,Screen reader support,Accessibility all styles,Semantic markup,Clear labels descriptions,None,Use proper ARIA labels semantic HTML,No screen reader consideration,Critical
93,Accessibility,Focus management,Accessibility all styles,Clear focus position,Logical focus order,Focus reveal,Manage focus for modals dynamic content,Lost focus trapped focus,Critical
94,Accessibility,Skip links,Accessibility all styles,Quick visible,Clear skip option,Reveal on focus,Provide skip to main content,No skip link,High
95,Accessibility,Error identification,Accessibility all styles,Clear error location,Clear error description,Error animation,Identify error location describe fix,Unclear errors no identification,Critical
96,Responsive,Mobile-first approach,All styles,Mobile optimized,Readable mobile,Touch optimized,Design mobile first enhance for desktop,Desktop first mobile afterthought,High
97,Responsive,Breakpoint consistency,All styles,Coherent all sizes,Readable all sizes,Smooth transitions,Use consistent breakpoints throughout,Random breakpoints inconsistent,Medium
98,Responsive,Touch and click targets,Responsive all styles,Clear interactive,Clear labels,Touch feedback,Support both touch and click appropriately,Touch only click only,High
99,Responsive,Content priority,Responsive all styles,Important visible,Clear hierarchy,Show hide,Show most important content first on mobile,Same priority all screens,High
100,Responsive,Testing across devices,All styles,Consistent experience,Readable everywhere,Works everywhere,Test on real devices not just resize,Browser resize only testing,High
